wordform,fst_analyses
dadaakwaakwasininigobanen,"['dadaakwaakwadoon+VIIPL+Cnj+Neg+DubPrt+0PlObvSubj', 'dadaakwaakwadoon+VIIPL+Ind+Neg+DubPrt+0PlObvSubj']"
dadaakwaakwadinigobanen,"['dadaakwaakwadoon+VIIPL+Cnj+Pos+DubPrt+0PlObvSubj', 'dadaakwaakwadoon+VIIPL+Ind+Pos+DubPrt+0PlObvSubj']"
dadaakwaakwasinoogobanen,"['dadaakwaakwadoon+VIIPL+Cnj+Neg+DubPrt+0PlSubj', 'dadaakwaakwadoon+VIIPL+Ind+Neg+DubPrt+0PlSubj']"
dadaakwaakwadogobanen,"['dadaakwaakwadoon+VIIPL+Cnj+Pos+DubPrt+0PlSubj', 'dadaakwaakwadoon+VIIPL+Ind+Pos+DubPrt+0PlSubj']"
niibidegoodesininigobanen,"['niibidegoodewan+VIIPL+Cnj+Neg+DubPrt+0PlObvSubj', 'niibidegoodewan+VIIPL+Ind+Neg+DubPrt+0PlObvSubj']"
niibidegoodenigobanen,"['niibidegoodewan+VIIPL+Cnj+Pos+DubPrt+0PlObvSubj', 'niibidegoodewan+VIIPL+Ind+Pos+DubPrt+0PlObvSubj']"
niibidegoodesinoogobanen,"['niibidegoodewan+VIIPL+Cnj+Neg+DubPrt+0PlSubj', 'niibidegoodewan+VIIPL+Ind+Neg+DubPrt+0PlSubj']"
niibidegoodegobanen,"['niibidegoodewan+VIIPL+Cnj+Pos+DubPrt+0PlSubj', 'niibidegoodewan+VIIPL+Ind+Pos+DubPrt+0PlSubj']"
