wordform,fst_analyses
madaabiigoban,"['madaabii+VAI+Ind+Pos+DubPrt+3SgProxSubj', 'madaabiin+VAIO+Ind+Pos+DubPrt+3SgProxSubj+0SgObj', 'madaabiin+VAIO+Ind+Pos+DubPrt+3SgProxSubj+0PlObj']"
zaaga'anziiwan,"[""zaaga'am+VAI+Ind+Neg+Neu+3SgObvSubj"", ""zaaga'am+VAI+Ind+Neg+Neu+3PlObvSubj""]"
minongwaanziiwan,"['minongwaam+VAI+Ind+Neg+Neu+3SgObvSubj', 'minongwaam+VAI+Ind+Neg+Neu+3PlObvSubj']"
wanishinziiwan,"['wanishin+VAI+Ind+Neg+Neu+3SgObvSubj', 'wanishin+VAI+Ind+Neg+Neu+3PlObvSubj']"
nagamosiiwan,"['nagamo+VAI+Ind+Neg+Neu+3SgObvSubj', 'nagamo+VAI+Ind+Neg+Neu+3PlObvSubj']"
niimisiiwan,"['niimi+VAI+Ind+Neg+Neu+3SgObvSubj', 'niimi+VAI+Ind+Neg+Neu+3PlObvSubj']"
maajiibatoosiiwan,"['maajiibatoo+VAI+Ind+Neg+Neu+3SgObvSubj', 'maajiibatoo+VAI+Ind+Neg+Neu+3PlObvSubj']"
madaabiisiiwan,"['madaabii+VAI+Ind+Neg+Neu+3SgObvSubj', 'madaabii+VAI+Ind+Neg+Neu+3PlObvSubj']"
nibaasiiwan,"['nibaa+VAI+Ind+Neg+Neu+3SgObvSubj', 'nibaa+VAI+Ind+Neg+Neu+3PlObvSubj']"
webinigesiiwan,"['webinige+VAI+Ind+Neg+Neu+3SgObvSubj', 'webinige+VAI+Ind+Neg+Neu+3PlObvSubj']"
nimadaabiisiimin,"['madaabii+VAI+Ind+Neg+Neu+ExclSubj', 'madaabiin+VAIO+Ind+Neg+Neu+ExclSubj+0PlObj', 'madaabiin+VAIO+Ind+Neg+Neu+ExclSubj+0SgObj']"
gimadaabiisiimin,"['madaabii+VAI+Ind+Neg+Neu+InclSubj', 'madaabiin+VAIO+Ind+Neg+Neu+InclSubj+0PlObj', 'madaabiin+VAIO+Ind+Neg+Neu+InclSubj+0SgObj']"
niminongwaam,"['minongwaami+VAI+Ind+Pos+Neu+1SgSubj', 'minongwaam+VAI+Ind+Pos+Neu+1SgSubj']"
giminongwaamim,"['minongwaami+VAI+Ind+Pos+Neu+2PlSubj', 'minongwaam+VAI+Ind+Pos+Neu+2PlSubj']"
giminongwaam,"['minongwaami+VAI+Ind+Pos+Neu+2SgSubj', 'minongwaam+VAI+Ind+Pos+Neu+2SgSubj']"
zaaga'amoon,"[""zaaga'am+VAI+Ind+Pos+Neu+3PlObvSubj"", ""zaaga'am+VAI+Ind+Pos+Neu+3SgObvSubj""]"
minongwaamoon,"['minongwaam+VAI+Ind+Pos+Neu+3PlObvSubj', 'minongwaam+VAI+Ind+Pos+Neu+3SgObvSubj']"
wanishinoon,"['wanishin+VAI+Ind+Pos+Neu+3PlObvSubj', 'wanishin+VAI+Ind+Pos+Neu+3SgObvSubj']"
nagamowan,"['nagamo+VAI+Ind+Pos+Neu+3PlObvSubj', 'nagamo+VAI+Ind+Pos+Neu+3SgObvSubj']"
niimiwan,"['niimi+VAI+Ind+Pos+Neu+3PlObvSubj', 'niimi+VAI+Ind+Pos+Neu+3SgObvSubj']"
maajiibatoowan,"['maajiibatoo+VAI+Ind+Pos+Neu+3PlObvSubj', 'maajiibatoo+VAI+Ind+Pos+Neu+3SgObvSubj']"
madaabiiwan,"['madaabii+VAI+Ind+Pos+Neu+3PlObvSubj', 'madaabii+VAI+Ind+Pos+Neu+3SgObvSubj']"
nibaawan,"['nibaa+VAI+Ind+Pos+Neu+3PlObvSubj', 'nibaa+VAI+Ind+Pos+Neu+3SgObvSubj']"
webinigewan,"['webinige+VAI+Ind+Pos+Neu+3PlObvSubj', 'webinige+VAI+Ind+Pos+Neu+3SgObvSubj']"
niminongwaamimin,"['minongwaami+VAI+Ind+Pos+Neu+ExclSubj', 'minongwaam+VAI+Ind+Pos+Neu+ExclSubj']"
nimadaabiimin,"['madaabii+VAI+Ind+Pos+Neu+ExclSubj', 'madaabiin+VAIO+Ind+Pos+Neu+ExclSubj+0SgObj', 'madaabiin+VAIO+Ind+Pos+Neu+ExclSubj+0PlObj']"
giminongwaamimin,"['minongwaami+VAI+Ind+Pos+Neu+InclSubj', 'minongwaam+VAI+Ind+Pos+Neu+InclSubj']"
gimadaabiimin,"['madaabii+VAI+Ind+Pos+Neu+InclSubj', 'madaabiin+VAIO+Ind+Pos+Neu+InclSubj+0SgObj', 'madaabiin+VAIO+Ind+Pos+Neu+InclSubj+0PlObj']"
minongwaamim,"['minongwaami+VAI+Ind+Pos+Neu+XSubj', 'minongwaam+VAI+Ind+Pos+Neu+XSubj']"
nimadaabiisiinaaban,"['madaabii+VAI+Ind+Neg+Prt+1SgSubj', 'madaabiin+VAIO+Ind+Neg+Prt+1SgSubj+0SgObj']"
gimadaabiisiinaaban,"['madaabii+VAI+Ind+Neg+Prt+2SgSubj', 'madaabiin+VAIO+Ind+Neg+Prt+2SgSubj+0SgObj']"
zaaga'anziibaniin,"[""zaaga'am+VAI+Ind+Neg+Prt+3SgObvSubj"", ""zaaga'am+VAI+Ind+Neg+Prt+3PlObvSubj""]"
minongwaanziibaniin,"['minongwaam+VAI+Ind+Neg+Prt+3SgObvSubj', 'minongwaam+VAI+Ind+Neg+Prt+3PlObvSubj']"
wanishinziibaniin,"['wanishin+VAI+Ind+Neg+Prt+3SgObvSubj', 'wanishin+VAI+Ind+Neg+Prt+3PlObvSubj']"
nagamosiibaniin,"['nagamo+VAI+Ind+Neg+Prt+3SgObvSubj', 'nagamo+VAI+Ind+Neg+Prt+3PlObvSubj']"
niimisiibaniin,"['niimi+VAI+Ind+Neg+Prt+3SgObvSubj', 'niimi+VAI+Ind+Neg+Prt+3PlObvSubj']"
maajiibatoosiibaniin,"['maajiibatoo+VAI+Ind+Neg+Prt+3SgObvSubj', 'maajiibatoo+VAI+Ind+Neg+Prt+3PlObvSubj']"
madaabiisiibaniin,"['madaabii+VAI+Ind+Neg+Prt+3SgObvSubj', 'madaabii+VAI+Ind+Neg+Prt+3PlObvSubj']"
nibaasiibaniin,"['nibaa+VAI+Ind+Neg+Prt+3SgObvSubj', 'nibaa+VAI+Ind+Neg+Prt+3PlObvSubj']"
webinigesiibaniin,"['webinige+VAI+Ind+Neg+Prt+3SgObvSubj', 'webinige+VAI+Ind+Neg+Prt+3PlObvSubj']"
nimadaabiisiiminaaban,"['madaabii+VAI+Ind+Neg+Prt+ExclSubj', 'madaabiin+VAIO+Ind+Neg+Prt+ExclSubj+0SgObj']"
gimadaabiisiiminaaban,"['madaabii+VAI+Ind+Neg+Prt+InclSubj', 'madaabiin+VAIO+Ind+Neg+Prt+InclSubj+0SgObj']"
niminongwaaminaaban,"['minongwaam+VAI+Ind+Pos+Prt+1SgSubj', 'minongwaami+VAI+Ind+Pos+Prt+1SgSubj']"
niniiminaaban,"['niimi+VAI+Ind+Pos+Prt+1SgSubj', 'niimin+VTA+Ind+Pos+Prt+1SgSubj+3SgProxObj']"
nimadaabiinaaban,"['madaabii+VAI+Ind+Pos+Prt+1SgSubj', 'madaabiin+VAIO+Ind+Pos+Prt+1SgSubj+0SgObj']"
giminongwaamimwaaban,"['minongwaam+VAI+Ind+Pos+Prt+2PlSubj', 'minongwaami+VAI+Ind+Pos+Prt+2PlSubj']"
