wordform,fst_analyses
miijiwanen,"['miijin+VTI+Cnj+Pos+Dub+2SgSubj+0SgObj', 'miijin+VTI+Cnj+Pos+Dub+2SgSubj+0PlObj']"
wanitoowanen,"['wanitoon+VTI+Cnj+Pos+Dub+2SgSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+2SgSubj+0SgObj']"
waabandaminigwen,"['waabandan+VTI+Cnj+Pos+Dub+3PlObvSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+3SgObvSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+3PlObvSubj+0SgObj', 'waabandan+VTI+Cnj+Pos+Dub+3SgObvSubj+0SgObj']"
miijinigwen,"['miijin+VTI+Cnj+Pos+Dub+3PlObvSubj+0PlObj', 'miijin+VTI+Cnj+Pos+Dub+3SgObvSubj+0PlObj', 'miijin+VTI+Cnj+Pos+Dub+3PlObvSubj+0SgObj', 'miijin+VTI+Cnj+Pos+Dub+3SgObvSubj+0SgObj']"
wanitoonigwen,"['wanitoon+VTI+Cnj+Pos+Dub+3PlObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+3SgObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+3PlObvSubj+0SgObj', 'wanitoon+VTI+Cnj+Pos+Dub+3SgObvSubj+0SgObj']"
waabandamowaagwen,"['waabandan+VTI+Cnj+Pos+Dub+3PlProxSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+3PlProxSubj+0SgObj']"
miijiwaagwen,"['miijin+VTI+Cnj+Pos+Dub+3PlProxSubj+0PlObj', 'miijin+VTI+Cnj+Pos+Dub+3PlProxSubj+0SgObj']"
wanitoowaagwen,"['wanitoon+VTI+Cnj+Pos+Dub+3PlProxSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+3PlProxSubj+0SgObj']"
waabandamogwen,"['waabandan+VTI+Cnj+Pos+Dub+3SgProxSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+3SgProxSubj+0SgObj']"
miijigwen,"['miijin+VTI+Cnj+Pos+Dub+3SgProxSubj+0SgObj', 'miijin+VTI+Cnj+Pos+Dub+3SgProxSubj+0PlObj']"
wanitoogwen,"['wanitoon+VTI+Cnj+Pos+Dub+3SgProxSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+3SgProxSubj+0SgObj']"
waabandamowaangen,"['waabandan+VTI+Cnj+Pos+Dub+ExclSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+ExclSubj+0SgObj']"
miijiwaangen,"['miijin+VTI+Cnj+Pos+Dub+ExclSubj+0PlObj', 'miijin+VTI+Cnj+Pos+Dub+ExclSubj+0SgObj']"
wanitoowaangen,"['wanitoon+VTI+Cnj+Pos+Dub+ExclSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+ExclSubj+0SgObj']"
waabandamowangen,"['waabandan+VTI+Cnj+Pos+Dub+InclSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+InclSubj+0SgObj']"
miijiwangen,"['miijin+VTI+Cnj+Pos+Dub+InclSubj+0PlObj', 'miijin+VTI+Cnj+Pos+Dub+InclSubj+0SgObj']"
wanitoowangen,"['wanitoon+VTI+Cnj+Pos+Dub+InclSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+InclSubj+0SgObj']"
waabandamowiingen,"['waabandan+VTI+Cnj+Pos+Dub+XSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+XSubj+0SgObj']"
miijiwiingen,"['miijin+VTI+Cnj+Pos+Dub+XSubj+0PlObj', 'miijin+VTI+Cnj+Pos+Dub+XSubj+0SgObj']"
wanitoowiingen,"['wanitoon+VTI+Cnj+Pos+Dub+XSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+XSubj+0SgObj']"
waabandanziiwaambaanen,"['waabandan+VTI+Cnj+Neg+DubPrt+1SgSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+DubPrt+1SgSubj+0SgObj']"
miijisiiwaambaanen,"['miijin+VTI+Cnj+Neg+DubPrt+1SgSubj+0PlObj', 'miijin+VTI+Cnj+Neg+DubPrt+1SgSubj+0SgObj']"
wanitoosiiwaambaanen,"['wanitoon+VTI+Cnj+Neg+DubPrt+1SgSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+DubPrt+1SgSubj+0SgObj']"
waabandanziiwegobanen,"['waabandan+VTI+Cnj+Neg+DubPrt+2PlSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+DubPrt+2PlSubj+0SgObj']"
miijisiiwegobanen,"['miijin+VTI+Cnj+Neg+DubPrt+2PlSubj+0PlObj', 'miijin+VTI+Cnj+Neg+DubPrt+2PlSubj+0SgObj']"
wanitoosiiwegobanen,"['wanitoon+VTI+Cnj+Neg+DubPrt+2PlSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+DubPrt+2PlSubj+0SgObj']"
waabandanziiwambanen,"['waabandan+VTI+Cnj+Neg+DubPrt+2SgSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+DubPrt+2SgSubj+0SgObj']"
miijisiiwambanen,"['miijin+VTI+Cnj+Neg+DubPrt+2SgSubj+0PlObj', 'miijin+VTI+Cnj+Neg+DubPrt+2SgSubj+0SgObj']"
wanitoosiiwambanen,"['wanitoon+VTI+Cnj+Neg+DubPrt+2SgSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+DubPrt+2SgSubj+0SgObj']"
waabandanziinigobanen,"['waabandan+VTI+Cnj+Neg+DubPrt+3PlObvSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+DubPrt+3SgObvSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+DubPrt+3PlObvSubj+0SgObj', 'waabandan+VTI+Cnj+Neg+DubPrt+3SgObvSubj+0SgObj']"
miijisiinigobanen,"['miijin+VTI+Cnj+Neg+DubPrt+3PlObvSubj+0PlObj', 'miijin+VTI+Cnj+Neg+DubPrt+3SgObvSubj+0PlObj', 'miijin+VTI+Cnj+Neg+DubPrt+3PlObvSubj+0SgObj', 'miijin+VTI+Cnj+Neg+DubPrt+3SgObvSubj+0SgObj']"
wanitoosiinigobanen,"['wanitoon+VTI+Cnj+Neg+DubPrt+3PlObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+DubPrt+3SgObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+DubPrt+3PlObvSubj+0SgObj', 'wanitoon+VTI+Cnj+Neg+DubPrt+3SgObvSubj+0SgObj']"
waabandanziiwaagobanen,"['waabandan+VTI+Cnj+Neg+DubPrt+3PlProxSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+DubPrt+3PlProxSubj+0SgObj']"
miijisiiwaagobanen,"['miijin+VTI+Cnj+Neg+DubPrt+3PlProxSubj+0PlObj', 'miijin+VTI+Cnj+Neg+DubPrt+3PlProxSubj+0SgObj']"
wanitoosiiwaagobanen,"['wanitoon+VTI+Cnj+Neg+DubPrt+3PlProxSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+DubPrt+3PlProxSubj+0SgObj']"
waabandanziigobanen,"['waabandan+VTI+Cnj+Neg+DubPrt+3SgProxSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+DubPrt+3SgProxSubj+0SgObj']"
miijisiigobanen,"['miijin+VTI+Cnj+Neg+DubPrt+3SgProxSubj+0PlObj', 'miijin+VTI+Cnj+Neg+DubPrt+3SgProxSubj+0SgObj']"
wanitoosiigobanen,"['wanitoon+VTI+Cnj+Neg+DubPrt+3SgProxSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+DubPrt+3SgProxSubj+0SgObj']"
waabandanziiwaangibanen,"['waabandan+VTI+Cnj+Neg+DubPrt+ExclSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+DubPrt+ExclSubj+0SgObj']"
miijisiiwaangibanen,"['miijin+VTI+Cnj+Neg+DubPrt+ExclSubj+0PlObj', 'miijin+VTI+Cnj+Neg+DubPrt+ExclSubj+0SgObj']"
wanitoosiiwaangibanen,"['wanitoon+VTI+Cnj+Neg+DubPrt+ExclSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+DubPrt+ExclSubj+0SgObj']"
waabandanziiwangibanen,"['waabandan+VTI+Cnj+Neg+DubPrt+InclSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+DubPrt+InclSubj+0SgObj']"
miijisiiwangibanen,"['miijin+VTI+Cnj+Neg+DubPrt+InclSubj+0PlObj', 'miijin+VTI+Cnj+Neg+DubPrt+InclSubj+0SgObj']"
wanitoosiiwangibanen,"['wanitoon+VTI+Cnj+Neg+DubPrt+InclSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+DubPrt+InclSubj+0SgObj']"
waabandanziiwiingibanen,"['waabandan+VTI+Cnj+Neg+DubPrt+XSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+DubPrt+XSubj+0SgObj']"
miijisiiwiingibanen,"['miijin+VTI+Cnj+Neg+DubPrt+XSubj+0PlObj', 'miijin+VTI+Cnj+Neg+DubPrt+XSubj+0SgObj']"
wanitoosiiwiingibanen,"['wanitoon+VTI+Cnj+Neg+DubPrt+XSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+DubPrt+XSubj+0SgObj']"
waabandamowaambaanen,"['waabandan+VTI+Cnj+Pos+DubPrt+1SgSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+DubPrt+1SgSubj+0SgObj']"
miijiwaambaanen,"['miijin+VTI+Cnj+Pos+DubPrt+1SgSubj+0PlObj', 'miijin+VTI+Cnj+Pos+DubPrt+1SgSubj+0SgObj']"
wanitoowaambaanen,"['wanitoon+VTI+Cnj+Pos+DubPrt+1SgSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+DubPrt+1SgSubj+0SgObj']"
waabandamowegobanen,"['waabandan+VTI+Cnj+Pos+DubPrt+2PlSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+DubPrt+2PlSubj+0SgObj']"
miijiwegobanen,"['miijin+VTI+Cnj+Pos+DubPrt+2PlSubj+0PlObj', 'miijin+VTI+Cnj+Pos+DubPrt+2PlSubj+0SgObj']"
wanitoowegobanen,"['wanitoon+VTI+Cnj+Pos+DubPrt+2PlSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+DubPrt+2PlSubj+0SgObj']"
waabandamowambanen,"['waabandan+VTI+Cnj+Pos+DubPrt+2SgSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+DubPrt+2SgSubj+0SgObj']"
miijiwambanen,"['miijin+VTI+Cnj+Pos+DubPrt+2SgSubj+0PlObj', 'miijin+VTI+Cnj+Pos+DubPrt+2SgSubj+0SgObj']"
wanitoowambanen,"['wanitoon+VTI+Cnj+Pos+DubPrt+2SgSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+DubPrt+2SgSubj+0SgObj']"
waabandaminigobanen,"['waabandan+VTI+Cnj+Pos+DubPrt+3PlObvSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+DubPrt+3SgObvSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+DubPrt+3PlObvSubj+0SgObj', 'waabandan+VTI+Cnj+Pos+DubPrt+3SgObvSubj+0SgObj']"
miijinigobanen,"['miijin+VTI+Cnj+Pos+DubPrt+3PlObvSubj+0PlObj', 'miijin+VTI+Cnj+Pos+DubPrt+3SgObvSubj+0PlObj', 'miijin+VTI+Cnj+Pos+DubPrt+3PlObvSubj+0SgObj', 'miijin+VTI+Cnj+Pos+DubPrt+3SgObvSubj+0SgObj']"
wanitoonigobanen,"['wanitoon+VTI+Cnj+Pos+DubPrt+3PlObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+DubPrt+3SgObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+DubPrt+3PlObvSubj+0SgObj', 'wanitoon+VTI+Cnj+Pos+DubPrt+3SgObvSubj+0SgObj']"
waabandamowaagobanen,"['waabandan+VTI+Cnj+Pos+DubPrt+3PlProxSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+DubPrt+3PlProxSubj+0SgObj']"
miijiwaagobanen,"['miijin+VTI+Cnj+Pos+DubPrt+3PlProxSubj+0PlObj', 'miijin+VTI+Cnj+Pos+DubPrt+3PlProxSubj+0SgObj']"
wanitoowaagobanen,"['wanitoon+VTI+Cnj+Pos+DubPrt+3PlProxSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+DubPrt+3PlProxSubj+0SgObj']"
waabandamogobanen,"['waabandan+VTI+Cnj+Pos+DubPrt+3SgProxSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+DubPrt+3SgProxSubj+0SgObj']"
miijigobanen,"['miijin+VTI+Cnj+Pos+DubPrt+3SgProxSubj+0PlObj', 'miijin+VTI+Cnj+Pos+DubPrt+3SgProxSubj+0SgObj']"
wanitoogobanen,"['wanitoon+VTI+Cnj+Pos+DubPrt+3SgProxSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+DubPrt+3SgProxSubj+0SgObj']"
waabandamowaangibanen,"['waabandan+VTI+Cnj+Pos+DubPrt+ExclSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+DubPrt+ExclSubj+0SgObj']"
miijiwaangibanen,"['miijin+VTI+Cnj+Pos+DubPrt+ExclSubj+0PlObj', 'miijin+VTI+Cnj+Pos+DubPrt+ExclSubj+0SgObj']"
wanitoowaangibanen,"['wanitoon+VTI+Cnj+Pos+DubPrt+ExclSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+DubPrt+ExclSubj+0SgObj']"
waabandamowangibanen,"['waabandan+VTI+Cnj+Pos+DubPrt+InclSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+DubPrt+InclSubj+0SgObj']"
miijiwangibanen,"['miijin+VTI+Cnj+Pos+DubPrt+InclSubj+0PlObj', 'miijin+VTI+Cnj+Pos+DubPrt+InclSubj+0SgObj']"
wanitoowangibanen,"['wanitoon+VTI+Cnj+Pos+DubPrt+InclSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+DubPrt+InclSubj+0SgObj']"
waabandamowiingibanen,"['waabandan+VTI+Cnj+Pos+DubPrt+XSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+DubPrt+XSubj+0SgObj']"
miijiwiingibanen,"['miijin+VTI+Cnj+Pos+DubPrt+XSubj+0PlObj', 'miijin+VTI+Cnj+Pos+DubPrt+XSubj+0SgObj']"
wanitoowiingibanen,"['wanitoon+VTI+Cnj+Pos+DubPrt+XSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+DubPrt+XSubj+0SgObj']"
ayaanziwaan,"['ayaan+VTI+Cnj+Neg+Neu+1SgSubj+0PlObj', 'ayaan+VTI+Cnj+Neg+Neu+1SgSubj+0SgObj']"
waabandanziwaan,"['waabandan+VTI+Cnj+Neg+Neu+1SgSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Neu+1SgSubj+0SgObj']"
miijisiwaan,"['miijin+VTI+Cnj+Neg+Neu+1SgSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Neu+1SgSubj+0SgObj']"
wanitoosiwaan,"['wanitoon+VTI+Cnj+Neg+Neu+1SgSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Neu+1SgSubj+0SgObj']"
ayaanziweg,"['ayaan+VTI+Cnj+Neg+Neu+2PlSubj+0PlObj', 'ayaan+VTI+Cnj+Neg+Neu+2PlSubj+0SgObj']"
waabandanziweg,"['waabandan+VTI+Cnj+Neg+Neu+2PlSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Neu+2PlSubj+0SgObj']"
miijisiweg,"['miijin+VTI+Cnj+Neg+Neu+2PlSubj+0SgObj', 'miijin+VTI+Cnj+Neg+Neu+2PlSubj+0PlObj']"
wanitoosiweg,"['wanitoon+VTI+Cnj+Neg+Neu+2PlSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Neu+2PlSubj+0SgObj']"
ayaanziwan,"['ayaan+VTI+Cnj+Neg+Neu+2SgSubj+0PlObj', 'ayaan+VTI+Cnj+Neg+Neu+2SgSubj+0SgObj']"
waabandanziwan,"['waabandan+VTI+Cnj+Neg+Neu+2SgSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Neu+2SgSubj+0SgObj']"
miijisiwan,"['miijin+VTI+Cnj+Neg+Neu+2SgSubj+0SgObj', 'miijin+VTI+Cnj+Neg+Neu+2SgSubj+0PlObj']"
wanitoosiwan,"['wanitoon+VTI+Cnj+Neg+Neu+2SgSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Neu+2SgSubj+0SgObj']"
ayaanzinig,"['ayaan+VTI+Cnj+Neg+Neu+3PlObvSubj+0PlObj', 'ayaan+VTI+Cnj+Neg+Neu+3SgObvSubj+0PlObj', 'ayaan+VTI+Cnj+Neg+Neu+3PlObvSubj+0SgObj', 'ayaan+VTI+Cnj+Neg+Neu+3SgObvSubj+0SgObj']"
waabandanzinig,"['waabandan+VTI+Cnj+Neg+Neu+3PlObvSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Neu+3SgObvSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Neu+3PlObvSubj+0SgObj', 'waabandan+VTI+Cnj+Neg+Neu+3SgObvSubj+0SgObj']"
miijisinig,"['miijin+VTI+Cnj+Neg+Neu+3PlObvSubj+0SgObj', 'miijin+VTI+Cnj+Neg+Neu+3SgObvSubj+0SgObj', 'miijin+VTI+Cnj+Neg+Neu+3PlObvSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Neu+3SgObvSubj+0PlObj']"
wanitoosinig,"['wanitoon+VTI+Cnj+Neg+Neu+3PlObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Neu+3SgObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Neu+3PlObvSubj+0SgObj', 'wanitoon+VTI+Cnj+Neg+Neu+3SgObvSubj+0SgObj']"
ayaanzigwaa,"['ayaan+VTI+Cnj+Neg+Neu+3PlProxSubj+0PlObj', 'ayaan+VTI+Cnj+Neg+Neu+3PlProxSubj+0SgObj']"
waabandanzigwaa,"['waabandan+VTI+Cnj+Neg+Neu+3PlProxSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Neu+3PlProxSubj+0SgObj']"
miijisigwaa,"['miijin+VTI+Cnj+Neg+Neu+3PlProxSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Neu+3PlProxSubj+0SgObj']"
wanitoosigwaa,"['wanitoon+VTI+Cnj+Neg+Neu+3PlProxSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Neu+3PlProxSubj+0SgObj']"
ayaanzig,"['ayaan+VTI+Cnj+Neg+Neu+3SgProxSubj+0SgObj', 'ayaan+VTI+Cnj+Neg+Neu+3SgProxSubj+0PlObj']"
waabandanzig,"['waabandan+VTI+Cnj+Neg+Neu+3SgProxSubj+0SgObj', 'waabandan+VTI+Cnj+Neg+Neu+3SgProxSubj+0PlObj']"
miijisig,"['miijin+VTI+Cnj+Neg+Neu+3SgProxSubj+0SgObj', 'miijin+VTI+Cnj+Neg+Neu+3SgProxSubj+0PlObj']"
wanitoosig,"['wanitoon+VTI+Cnj+Neg+Neu+3SgProxSubj+0SgObj', 'wanitoon+VTI+Cnj+Neg+Neu+3SgProxSubj+0PlObj']"
ayaanziwaang,"['ayaan+VTI+Cnj+Neg+Neu+ExclSubj+0PlObj', 'ayaan+VTI+Cnj+Neg+Neu+ExclSubj+0SgObj']"
waabandanziwaang,"['waabandan+VTI+Cnj+Neg+Neu+ExclSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Neu+ExclSubj+0SgObj']"
