wordform,fst_analyses
adaawen,"['adaawe+VAI+Imp+Sim+2SgSubj', 'adaawen+VAIO+Imp+Sim+2SgSubj+0SgObj', 'adaawen+VAIO+Imp+Sim+2SgSubj+0PlObj']"
adaaweyok,"['adaawe+VAI+Imp+Sim+2PlSubj', 'adaawen+VAIO+Imp+Sim+2PlSubj+0SgObj', 'adaawen+VAIO+Imp+Sim+2PlSubj+0PlObj']"
adaawedaa,"['adaawe+VAI+Imp+Del+InclSubj', 'adaawe+VAI+Imp+Sim+InclSubj', 'adaawen+VAIO+Imp+Sim+InclSubj+0SgObj']"
adaaweken,"['adaawe+VAI+Imp+Prb+2SgSubj', 'adaawen+VAIO+Imp+Prb+2SgSubj+0SgObj', 'adaawen+VAIO+Imp+Prb+2SgSubj+0PlObj']"
adaawekegon,"['adaawe+VAI+Imp+Prb+2PlSubj', 'adaawe+VAI+Imp+Del+2PlSubj', 'adaawen+VAIO+Imp+Prb+2PlSubj+0PlObj', 'adaawen+VAIO+Imp+Prb+2PlSubj+0SgObj']"
adaawesiidaa,"['adaawe+VAI+Imp+Prb+InclSubj', 'adaawen+VAIO+Imp+Prb+InclSubj+0SgObj']"
adaawekan,"['adaawen+VAIO+Imp+Del+2SgSubj+0SgObj', 'adaawen+VAIO+Imp+Del+2SgSubj+0PlObj', 'adaawe+VAI+Imp+Del+2SgSubj']"
adaawekeg,"['adaawen+VAIO+Imp+Del+2PlSubj+0SgObj', 'adaawen+VAIO+Imp+Del+2PlSubj+0PlObj', 'adaawe+VAI+Imp+Del+2PlSubj']"
adaawekang,"['adaawen+VAIO+Imp+Del+InclSubj+0SgObj', 'adaawen+VAIO+Imp+Del+InclSubj+0PlObj', 'adaawe+VAI+Imp+Del+InclSubj']"
