wordform,fst_analyses
webinigenigwen,"['webinige+VAI+Cnj+Pos+Dub+3PlObvSubj', 'webinige+VAI+Cnj+Pos+Dub+3SgObvSubj']"
madaabiiwaagwen,"['madaabii+VAI+Cnj+Pos+Dub+3PlProxSubj', 'madaabiin+VAIO+Cnj+Pos+Dub+3PlProxSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+Dub+3PlProxSubj+0SgObj']"
madaabiigwen,"['madaabii+VAI+Cnj+Pos+Dub+3SgProxSubj', 'madaabiin+VAIO+Cnj+Pos+Dub+3SgProxSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+Dub+3SgProxSubj+0PlObj']"
madaabiiwaangen,"['madaabii+VAI+Cnj+Pos+Dub+ExclSubj', 'madaabiin+VAIO+Cnj+Pos+Dub+ExclSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+Dub+ExclSubj+0SgObj']"
madaabiiwangen,"['madaabii+VAI+Cnj+Pos+Dub+InclSubj', 'madaabiin+VAIO+Cnj+Pos+Dub+InclSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+Dub+InclSubj+0SgObj']"
madaabiiwiingen,"['madaabii+VAI+Cnj+Pos+Dub+XSubj', 'madaabiin+VAIO+Cnj+Pos+Dub+XSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+Dub+XSubj+0SgObj']"
zaaga'amowaambaanen,"[""zaaga'am+VAI+Cnj+Pos+DubPrt+1SgSubj"", ""zaaga'am+VAI+Cnj+Neg+DubPrt+1SgSubj""]"
madaabiisiiwaambaanen,"['madaabii+VAI+Cnj+Neg+DubPrt+1SgSubj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+1SgSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+1SgSubj+0SgObj']"
zaaga'amowegibanen,"[""zaaga'am+VAI+Cnj+Pos+DubPrt+2PlSubj"", ""zaaga'am+VAI+Cnj+Neg+DubPrt+2PlSubj""]"
madaabiisiiwegibanen,"['madaabii+VAI+Cnj+Neg+DubPrt+2PlSubj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+2PlSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+2PlSubj+0SgObj']"
zaaga'amowambanen,"[""zaaga'am+VAI+Cnj+Pos+DubPrt+2SgSubj"", ""zaaga'am+VAI+Cnj+Neg+DubPrt+2SgSubj""]"
madaabiisiiwambanen,"['madaabii+VAI+Cnj+Neg+DubPrt+2SgSubj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+2SgSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+2SgSubj+0SgObj']"
