wordform,fst_analyses
menongwaaminigobanenan,"['minongwaam+VAI+Pcp+Pos+DubPrt+3PlObvSubj+3PlObvHead', 'minongwaam+VAI+Pcp+Pos+DubPrt+3SgObvSubj+3SgObvHead', 'minongwaami+VAI+Pcp+Pos+DubPrt+3PlObvSubj+3PlObvHead', 'minongwaami+VAI+Pcp+Pos+DubPrt+3SgObvSubj+3SgObvHead']"
negamonigobanenan,"['nagamo+VAI+Pcp+Pos+DubPrt+3PlObvSubj+3PlObvHead', 'nagamo+VAI+Pcp+Pos+DubPrt+3SgObvSubj+3SgObvHead']"
nebaanigobanenan,"['nibaa+VAI+Pcp+Pos+DubPrt+3PlObvSubj+3PlObvHead', 'nibaa+VAI+Pcp+Pos+DubPrt+3SgObvSubj+3SgObvHead']"
naaminigobanenan,"['niimi+VAI+Pcp+Pos+DubPrt+3PlObvSubj+3PlObvHead', 'niimi+VAI+Pcp+Pos+DubPrt+3SgObvSubj+3SgObvHead']"
wenishininigobanenan,"['wanishin+VAI+Pcp+Pos+DubPrt+3PlObvSubj+3PlObvHead', 'wanishin+VAI+Pcp+Pos+DubPrt+3SgObvSubj+3SgObvHead']"
wayebinigenigobanenan,"['webinige+VAI+Pcp+Pos+DubPrt+3PlObvSubj+3PlObvHead', 'webinige+VAI+Pcp+Pos+DubPrt+3SgObvSubj+3SgObvHead']"
zayaaga'amogobanenag,"[""zaaga'am+VAI+Pcp+Pos+DubPrt+3PlProxSubj+3PlProxHead"", ""zaaga'am+VAI+Pcp+Neg+DubPrt+3PlProxSubj+3PlProxHead""]"
zayaaga'amogobanen,"[""zaaga'am+VAI+Pcp+Pos+DubPrt+3SgProxSubj+3SgProxHead"", ""zaaga'am+VAI+Pcp+Neg+DubPrt+3SgProxSubj+3SgProxHead""]"
mayaajiibatoonijin,"['maajiibatoo+VAI+Pcp+Pos+Neu+3SgObvSubj+3SgObvHead', 'maajiibatoo+VAI+Pcp+Pos+Neu+3PlObvSubj+3PlObvHead']"
medaabiinijin,"['madaabii+VAI+Pcp+Pos+Neu+3SgObvSubj+3SgObvHead', 'madaabii+VAI+Pcp+Pos+Neu+3PlObvSubj+3PlObvHead']"
menongwaaminijin,"['minongwaami+VAI+Pcp+Pos+Neu+3SgObvSubj+3SgObvHead', 'minongwaam+VAI+Pcp+Pos+Neu+3PlObvSubj+3PlObvHead', 'minongwaam+VAI+Pcp+Pos+Neu+3SgObvSubj+3SgObvHead', 'minongwaami+VAI+Pcp+Pos+Neu+3PlObvSubj+3PlObvHead']"
negamonijin,"['nagamo+VAI+Pcp+Pos+Neu+3SgObvSubj+3SgObvHead', 'nagamo+VAI+Pcp+Pos+Neu+3PlObvSubj+3PlObvHead']"
nebaanijin,"['nibaa+VAI+Pcp+Pos+Neu+3SgObvSubj+3SgObvHead', 'nibaa+VAI+Pcp+Pos+Neu+3PlObvSubj+3PlObvHead']"
naaminijin,"['niimi+VAI+Pcp+Pos+Neu+3SgObvSubj+3SgObvHead', 'niimi+VAI+Pcp+Pos+Neu+3PlObvSubj+3PlObvHead']"
wenishininijin,"['wanishin+VAI+Pcp+Pos+Neu+3PlObvSubj+3PlObvHead', 'wanishin+VAI+Pcp+Pos+Neu+3SgObvSubj+3SgObvHead']"
wayebinigenijin,"['webinige+VAI+Pcp+Pos+Neu+3SgObvSubj+3SgObvHead', 'webinige+VAI+Pcp+Pos+Neu+3PlObvSubj+3PlObvHead']"
zayaaga'aminijin,"[""zaaga'am+VAI+Pcp+Pos+Neu+3PlObvSubj+3PlObvHead"", ""zaaga'am+VAI+Pcp+Pos+Neu+3SgObvSubj+3SgObvHead""]"
zayaaga'ang,"[""zaaga'am+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead"", ""zaaga'am+VAI+Pcp+Pos+Neu+3PlProxSubj+3PlProxHead""]"
mayaajiibatoosinigobaniin,"['maajiibatoo+VAI+Pcp+Neg+Prt+3PlObvSubj+3PlObvHead', 'maajiibatoo+VAI+Pcp+Neg+Prt+3SgObvSubj+3SgObvHead']"
medaabiisinigobaniin,"['madaabii+VAI+Pcp+Neg+Prt+3PlObvSubj+3PlObvHead', 'madaabii+VAI+Pcp+Neg+Prt+3SgObvSubj+3SgObvHead']"
menongwaanzinigobaniin,"['minongwaam+VAI+Pcp+Neg+Prt+3PlObvSubj+3PlObvHead', 'minongwaam+VAI+Pcp+Neg+Prt+3SgObvSubj+3SgObvHead']"
negamosinigobaniin,"['nagamo+VAI+Pcp+Neg+Prt+3PlObvSubj+3PlObvHead', 'nagamo+VAI+Pcp+Neg+Prt+3SgObvSubj+3SgObvHead']"
nebaasinigobaniin,"['nibaa+VAI+Pcp+Neg+Prt+3PlObvSubj+3PlObvHead', 'nibaa+VAI+Pcp+Neg+Prt+3SgObvSubj+3SgObvHead']"
naamisinigobaniin,"['niimi+VAI+Pcp+Neg+Prt+3PlObvSubj+3PlObvHead', 'niimi+VAI+Pcp+Neg+Prt+3SgObvSubj+3SgObvHead']"
wenishinzinigobaniin,"['wanishin+VAI+Pcp+Neg+Prt+3PlObvSubj+3PlObvHead', 'wanishin+VAI+Pcp+Neg+Prt+3SgObvSubj+3SgObvHead']"
wayebinigesinigobaniin,"['webinige+VAI+Pcp+Neg+Prt+3PlObvSubj+3PlObvHead', 'webinige+VAI+Pcp+Neg+Prt+3SgObvSubj+3SgObvHead']"
zayaaga'anzinigobaniin,"[""zaaga'am+VAI+Pcp+Neg+Prt+3PlObvSubj+3PlObvHead"", ""zaaga'am+VAI+Pcp+Neg+Prt+3SgObvSubj+3SgObvHead""]"
mayaajiibatoonipaniin,"['maajiibatoo+VAI+Pcp+Pos+Prt+3PlObvSubj+3PlObvHead', 'maajiibatoo+VAI+Pcp+Pos+Prt+3SgObvSubj+3SgObvHead']"
medaabiinipaniin,"['madaabii+VAI+Pcp+Pos+Prt+3PlObvSubj+3PlObvHead', 'madaabii+VAI+Pcp+Pos+Prt+3SgObvSubj+3SgObvHead']"
menongwaaminipaniin,"['minongwaam+VAI+Pcp+Pos+Prt+3PlObvSubj+3PlObvHead', 'minongwaam+VAI+Pcp+Pos+Prt+3SgObvSubj+3SgObvHead', 'minongwaami+VAI+Pcp+Pos+Prt+3PlObvSubj+3PlObvHead', 'minongwaami+VAI+Pcp+Pos+Prt+3SgObvSubj+3SgObvHead']"
negamonipaniin,"['nagamo+VAI+Pcp+Pos+Prt+3PlObvSubj+3PlObvHead', 'nagamo+VAI+Pcp+Pos+Prt+3SgObvSubj+3SgObvHead']"
nebaanipaniin,"['nibaa+VAI+Pcp+Pos+Prt+3PlObvSubj+3PlObvHead', 'nibaa+VAI+Pcp+Pos+Prt+3SgObvSubj+3SgObvHead']"
naaminipaniin,"['niimi+VAI+Pcp+Pos+Prt+3PlObvSubj+3PlObvHead', 'niimi+VAI+Pcp+Pos+Prt+3SgObvSubj+3SgObvHead']"
wenishininipaniin,"['wanishin+VAI+Pcp+Pos+Prt+3PlObvSubj+3PlObvHead', 'wanishin+VAI+Pcp+Pos+Prt+3SgObvSubj+3SgObvHead']"
wayebinigenipaniin,"['webinige+VAI+Pcp+Pos+Prt+3PlObvSubj+3PlObvHead', 'webinige+VAI+Pcp+Pos+Prt+3SgObvSubj+3SgObvHead']"
