,wordform,fst_analyses
134,gimizhogoosiiminaadog,"['mizhwi+VTA+Ind+Neg+Dub+XSubj+InclObj', 'mizho+VTA+Ind+Neg+Dub+XSubj+InclObj']"
135,nimizhogonaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+0PlSubj+1SgObj', 'mizho+VTA+Ind+Pos+Dub+0PlSubj+1SgObj']"
136,gimizhogonaawaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+0PlSubj+2PlObj', 'mizho+VTA+Ind+Pos+Dub+0PlSubj+2PlObj']"
137,gimizhogonaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+0PlSubj+2SgObj', 'mizho+VTA+Ind+Pos+Dub+0PlSubj+2SgObj']"
138,omikaagonaawaadogenan,"['mikaw+VTA+Ind+Pos+Dub+0PlSubj+3PlObvObj', 'mikaw+VTA+Ind+Pos+Dub+0PlSubj+3PlProxObj']"
139,owaabamigonaawaadogenan,"['waabam+VTA+Ind+Pos+Dub+0PlSubj+3PlObvObj', 'waabam+VTA+Ind+Pos+Dub+0PlSubj+3PlProxObj']"
140,omizhogonaawaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+0PlSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+0PlSubj+3PlObvObj', 'mizhwi+VTA+Ind+Pos+Dub+0PlSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Dub+0PlSubj+3PlProxObj']"
141,omiinigonaawaadogenan,"['miizh+VTA+Ind+Pos+Dub+0PlSubj+3PlObvObj', 'miizh+VTA+Ind+Pos+Dub+0PlSubj+3PlProxObj']"
142,omawadisigonaawaadogenan,"['mawadish+VTA+Ind+Pos+Dub+0PlSubj+3PlObvObj', 'mawadish+VTA+Ind+Pos+Dub+0PlSubj+3PlProxObj']"
143,omikaagonaadogenan,"['mikaw+VTA+Ind+Pos+Dub+0PlSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Dub+0PlSubj+3SgProxObj']"
144,owaabamigonaadogenan,"['waabam+VTA+Ind+Pos+Dub+0PlSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Dub+0PlSubj+3SgProxObj']"
145,omizhogonaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+0PlSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Dub+0PlSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Dub+0PlSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Dub+0PlSubj+3SgProxObj']"
146,omiinigonaadogenan,"['miizh+VTA+Ind+Pos+Dub+0PlSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Dub+0PlSubj+3SgProxObj']"
147,omawadisigonaadogenan,"['mawadish+VTA+Ind+Pos+Dub+0PlSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Dub+0PlSubj+3SgProxObj']"
148,nimizhogominaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+0PlSubj+ExclObj', 'mizho+VTA+Ind+Pos+Dub+0PlSubj+ExclObj']"
149,gimizhogominaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+0PlSubj+InclObj', 'mizho+VTA+Ind+Pos+Dub+0PlSubj+InclObj']"
150,nimikaagonaadog,"['mikaw+VTA+Ind+Pos+Dub+3SgProxSubj+ExclObj', 'mikaw+VTA+Ind+Pos+Dub+0SgSubj+1SgObj']"
151,niwaabamigonaadog,"['waabam+VTA+Ind+Pos+Dub+0SgSubj+1SgObj', 'waabam+VTA+Ind+Pos+Dub+3SgProxSubj+ExclObj']"
152,nimizhogonaadog,"['mizhwi+VTA+Ind+Pos+Dub+0SgSubj+1SgObj', 'mizho+VTA+Ind+Pos+Dub+0SgSubj+1SgObj', 'mizhwi+VTA+Ind+Pos+Dub+3SgProxSubj+ExclObj', 'mizho+VTA+Ind+Pos+Dub+3SgProxSubj+ExclObj']"
153,nimiinigonaadog,"['miizh+VTA+Ind+Pos+Dub+0SgSubj+1SgObj', 'miizh+VTA+Ind+Pos+Dub+3SgProxSubj+ExclObj']"
154,nimawadisigonaadog,"['mawadish+VTA+Ind+Pos+Dub+0SgSubj+1SgObj', 'mawadish+VTA+Ind+Pos+Dub+3SgProxSubj+ExclObj']"
155,gimizhogonaawaadog,"['mizhwi+VTA+Ind+Pos+Dub+0SgSubj+2PlObj', 'mizho+VTA+Ind+Pos+Dub+0SgSubj+2PlObj']"
156,gimikaagonaadog,"['mikaw+VTA+Ind+Pos+Dub+3SgProxSubj+InclObj', 'mikaw+VTA+Ind+Pos+Dub+0SgSubj+2SgObj']"
157,giwaabamigonaadog,"['waabam+VTA+Ind+Pos+Dub+3SgProxSubj+InclObj', 'waabam+VTA+Ind+Pos+Dub+0SgSubj+2SgObj']"
158,gimizhogonaadog,"['mizhwi+VTA+Ind+Pos+Dub+3SgProxSubj+InclObj', 'mizho+VTA+Ind+Pos+Dub+3SgProxSubj+InclObj', 'mizhwi+VTA+Ind+Pos+Dub+0SgSubj+2SgObj', 'mizho+VTA+Ind+Pos+Dub+0SgSubj+2SgObj']"
159,gimiinigonaadog,"['miizh+VTA+Ind+Pos+Dub+3SgProxSubj+InclObj', 'miizh+VTA+Ind+Pos+Dub+0SgSubj+2SgObj']"
160,gimawadisigonaadog,"['mawadish+VTA+Ind+Pos+Dub+3SgProxSubj+InclObj', 'mawadish+VTA+Ind+Pos+Dub+0SgSubj+2SgObj']"
161,omikaagonaawaadog,"['mikaw+VTA+Ind+Pos+Dub+0SgSubj+3PlObvObj', 'mikaw+VTA+Ind+Pos+Dub+0SgSubj+3PlProxObj']"
162,owaabamigonaawaadog,"['waabam+VTA+Ind+Pos+Dub+0SgSubj+3PlObvObj', 'waabam+VTA+Ind+Pos+Dub+0SgSubj+3PlProxObj']"
163,omizhogonaawaadog,"['mizhwi+VTA+Ind+Pos+Dub+0SgSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+0SgSubj+3PlObvObj', 'mizhwi+VTA+Ind+Pos+Dub+0SgSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Dub+0SgSubj+3PlProxObj']"
164,omiinigonaawaadog,"['miizh+VTA+Ind+Pos+Dub+0SgSubj+3PlObvObj', 'miizh+VTA+Ind+Pos+Dub+0SgSubj+3PlProxObj']"
165,omawadisigonaawaadog,"['mawadish+VTA+Ind+Pos+Dub+0SgSubj+3PlObvObj', 'mawadish+VTA+Ind+Pos+Dub+0SgSubj+3PlProxObj']"
166,omikaagonaadog,"['mikaw+VTA+Ind+Pos+Dub+0SgSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Dub+0SgSubj+3SgProxObj']"
167,owaabamigonaadog,"['waabam+VTA+Ind+Pos+Dub+0SgSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Dub+0SgSubj+3SgProxObj']"
168,omizhogonaadog,"['mizhwi+VTA+Ind+Pos+Dub+0SgSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Dub+0SgSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Dub+0SgSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Dub+0SgSubj+3SgProxObj']"
169,omiinigonaadog,"['miizh+VTA+Ind+Pos+Dub+0SgSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Dub+0SgSubj+3SgProxObj']"
170,omawadisigonaadog,"['mawadish+VTA+Ind+Pos+Dub+0SgSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Dub+0SgSubj+3SgProxObj']"
171,nimizhogominaadog,"['mizhwi+VTA+Ind+Pos+Dub+0SgSubj+ExclObj', 'mizho+VTA+Ind+Pos+Dub+0SgSubj+ExclObj']"
172,gimizhogominaadog,"['mizhwi+VTA+Ind+Pos+Dub+0SgSubj+InclObj', 'mizho+VTA+Ind+Pos+Dub+0SgSubj+InclObj']"
173,gimizhoninimwaadog,"['mizhwi+VTA+Ind+Pos+Dub+1SgSubj+2PlObj', 'mizho+VTA+Ind+Pos+Dub+1SgSubj+2PlObj']"
174,gimizhoninaadog,"['mizhwi+VTA+Ind+Pos+Dub+1SgSubj+2SgObj', 'mizho+VTA+Ind+Pos+Dub+1SgSubj+2SgObj']"
175,nimizhomaadogena',"['mizhwi+VTA+Ind+Pos+Dub+1SgSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+1SgSubj+3PlObvObj']"
176,nimizhwaadogenag,"['mizhwi+VTA+Ind+Pos+Dub+1SgSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Dub+1SgSubj+3PlProxObj']"
177,nimikawimaadogenan,"['mikaw+VTA+Ind+Pos+Dub+1SgSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Dub+1SgSubj+3PlObvObj']"
178,niwaabamimaadogenan,"['waabam+VTA+Ind+Pos+Dub+1SgSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Dub+1SgSubj+3PlObvObj']"
179,nimizhomaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+1SgSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Dub+1SgSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Dub+1SgSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+1SgSubj+3PlObvObj']"
180,nimiinimaadogenan,"['miizh+VTA+Ind+Pos+Dub+1SgSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Dub+1SgSubj+3PlObvObj']"
181,nimawadisimaadogenan,"['mawadish+VTA+Ind+Pos+Dub+1SgSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Dub+1SgSubj+3PlObvObj']"
182,nimizhwaadog,"['mizhwi+VTA+Ind+Pos+Dub+1SgSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Dub+1SgSubj+3SgProxObj']"
183,gimikawimwaadog,"['mikaw+VTA+Ind+Pos+Dub+2PlSubj+1SgObj', 'mikawi+VAI+Ind+Pos+Dub+2PlSubj']"
184,gimizhomwaadog,"['mizhwi+VTA+Ind+Pos+Dub+2PlSubj+1SgObj', 'mizho+VTA+Ind+Pos+Dub+2PlSubj+1SgObj']"
185,gimizhomaawaadogena',"['mizhwi+VTA+Ind+Pos+Dub+2PlSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+2PlSubj+3PlObvObj']"
186,gimizhwaawaadogenag,"['mizhwi+VTA+Ind+Pos+Dub+2PlSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Dub+2PlSubj+3PlProxObj']"
187,gimizhwaawaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+2PlSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Dub+2PlSubj+3SgObvObj']"
188,gimizhwaawaadog,"['mizhwi+VTA+Ind+Pos+Dub+2PlSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Dub+2PlSubj+3SgProxObj']"
189,gimikawinaamaadog,"['mikaw+VTA+Ind+Pos+Dub+2SgSubj+ExclObj', 'mikaw+VTA+Ind+Pos+Dub+2PlSubj+ExclObj']"
190,giwaabaminaamaadog,"['waabam+VTA+Ind+Pos+Dub+2SgSubj+ExclObj', 'waabam+VTA+Ind+Pos+Dub+2PlSubj+ExclObj']"
191,gimizhonaamaadog,"['mizhwi+VTA+Ind+Pos+Dub+2SgSubj+ExclObj', 'mizho+VTA+Ind+Pos+Dub+2SgSubj+ExclObj', 'mizhwi+VTA+Ind+Pos+Dub+2PlSubj+ExclObj', 'mizho+VTA+Ind+Pos+Dub+2PlSubj+ExclObj']"
192,gimiizhinaamaadog,"['miizh+VTA+Ind+Pos+Dub+2SgSubj+ExclObj', 'miizh+VTA+Ind+Pos+Dub+2PlSubj+ExclObj']"
193,gimawadishinaamaadog,"['mawadish+VTA+Ind+Pos+Dub+2SgSubj+ExclObj', 'mawadish+VTA+Ind+Pos+Dub+2PlSubj+ExclObj']"
194,gimikawinaadog,"['mikaw+VTA+Ind+Pos+Dub+2SgSubj+1SgObj', 'mikawi+VAI+Ind+Pos+Dub+2SgSubj']"
195,gimizhonaadog,"['mizhwi+VTA+Ind+Pos+Dub+2SgSubj+1SgObj', 'mizho+VTA+Ind+Pos+Dub+2SgSubj+1SgObj']"
196,gimizhomaadogena',"['mizhwi+VTA+Ind+Pos+Dub+2SgSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+2SgSubj+3PlObvObj']"
197,gimizhwaadogenag,"['mizhwi+VTA+Ind+Pos+Dub+2SgSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Dub+2SgSubj+3PlProxObj']"
198,gimikawimaadogenan,"['mikaw+VTA+Ind+Pos+Dub+2SgSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Dub+2SgSubj+3PlObvObj']"
199,giwaabamimaadogenan,"['waabam+VTA+Ind+Pos+Dub+2SgSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Dub+2SgSubj+3PlObvObj']"
200,gimizhomaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+2SgSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Dub+2SgSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Dub+2SgSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+2SgSubj+3PlObvObj']"
201,gimiinimaadogenan,"['miizh+VTA+Ind+Pos+Dub+2SgSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Dub+2SgSubj+3PlObvObj']"
202,gimawadisimaadogenan,"['mawadish+VTA+Ind+Pos+Dub+2SgSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Dub+2SgSubj+3PlObvObj']"
203,gimizhwaadog,"['mizhwi+VTA+Ind+Pos+Dub+2SgSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Dub+2SgSubj+3SgProxObj']"
204,omizhogowaadogena',"['mizhwi+VTA+Ind+Pos+Dub+3PlObvSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Dub+3PlObvSubj+3PlProxObj']"
205,omizhogodogena',"['mizhwi+VTA+Ind+Pos+Dub+3PlObvSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Dub+3PlObvSubj+3SgProxObj']"
206,nimizhogodogenag,"['mizhwi+VTA+Ind+Pos+Dub+3PlProxSubj+1SgObj', 'mizho+VTA+Ind+Pos+Dub+3PlProxSubj+1SgObj']"
207,gimizhogowaadogenag,"['mizhwi+VTA+Ind+Pos+Dub+3PlProxSubj+2PlObj', 'mizho+VTA+Ind+Pos+Dub+3PlProxSubj+2PlObj']"
208,gimizhogodogenag,"['mizhwi+VTA+Ind+Pos+Dub+3PlProxSubj+2SgObj', 'mizho+VTA+Ind+Pos+Dub+3PlProxSubj+2SgObj']"
209,omizhwaawaadogena',"['mizhwi+VTA+Ind+Pos+Dub+3PlProxSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+3PlProxSubj+3PlObvObj']"
210,omikawaawaadogenan,"['mikaw+VTA+Ind+Pos+Dub+3PlProxSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Dub+3PlProxSubj+3PlObvObj']"
211,owaabamaawaadogenan,"['waabam+VTA+Ind+Pos+Dub+3PlProxSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Dub+3PlProxSubj+3PlObvObj']"
212,omizhwaawaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+3PlProxSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Dub+3PlProxSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Dub+3PlProxSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+3PlProxSubj+3PlObvObj']"
213,omiinaawaadogenan,"['miizh+VTA+Ind+Pos+Dub+3PlProxSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Dub+3PlProxSubj+3PlObvObj']"
214,omawadisaawaadogenan,"['mawadish+VTA+Ind+Pos+Dub+3PlProxSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Dub+3PlProxSubj+3PlObvObj']"
215,nimizhogonaadogenag,"['mizhwi+VTA+Ind+Pos+Dub+3PlProxSubj+ExclObj', 'mizho+VTA+Ind+Pos+Dub+3PlProxSubj+ExclObj']"
216,gimizhogonaadogenag,"['mizhwi+VTA+Ind+Pos+Dub+3PlProxSubj+InclObj', 'mizho+VTA+Ind+Pos+Dub+3PlProxSubj+InclObj']"
217,omikaagowaadogenan,"['mikaw+VTA+Ind+Pos+Dub+3SgObvSubj+3PlProxObj', 'mikaw+VTA+Ind+Pos+Dub+3PlObvSubj+3PlProxObj']"
218,owaabamigowaadogenan,"['waabam+VTA+Ind+Pos+Dub+3SgObvSubj+3PlProxObj', 'waabam+VTA+Ind+Pos+Dub+3PlObvSubj+3PlProxObj']"
219,omizhogowaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+3SgObvSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Dub+3SgObvSubj+3PlProxObj', 'mizhwi+VTA+Ind+Pos+Dub+3PlObvSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Dub+3PlObvSubj+3PlProxObj']"
220,omiinigowaadogenan,"['miizh+VTA+Ind+Pos+Dub+3SgObvSubj+3PlProxObj', 'miizh+VTA+Ind+Pos+Dub+3PlObvSubj+3PlProxObj']"
221,omawadisigowaadogenan,"['mawadish+VTA+Ind+Pos+Dub+3SgObvSubj+3PlProxObj', 'mawadish+VTA+Ind+Pos+Dub+3PlObvSubj+3PlProxObj']"
222,omikaagodogenan,"['mikaw+VTA+Ind+Pos+Dub+3SgObvSubj+3SgProxObj', 'mikaw+VTA+Ind+Pos+Dub+3PlObvSubj+3SgProxObj']"
223,owaabamigodogenan,"['waabam+VTA+Ind+Pos+Dub+3SgObvSubj+3SgProxObj', 'waabam+VTA+Ind+Pos+Dub+3PlObvSubj+3SgProxObj']"
224,omizhogodogenan,"['mizhwi+VTA+Ind+Pos+Dub+3SgObvSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Dub+3SgObvSubj+3SgProxObj', 'mizhwi+VTA+Ind+Pos+Dub+3PlObvSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Dub+3PlObvSubj+3SgProxObj']"
225,omiinigodogenan,"['miizh+VTA+Ind+Pos+Dub+3SgObvSubj+3SgProxObj', 'miizh+VTA+Ind+Pos+Dub+3PlObvSubj+3SgProxObj']"
226,omawadisigodogenan,"['mawadish+VTA+Ind+Pos+Dub+3SgObvSubj+3SgProxObj', 'mawadish+VTA+Ind+Pos+Dub+3PlObvSubj+3SgProxObj']"
227,nimizhogodog,"['mizhwi+VTA+Ind+Pos+Dub+3SgProxSubj+1SgObj', 'mizho+VTA+Ind+Pos+Dub+3SgProxSubj+1SgObj']"
228,gimizhogowaadog,"['mizhwi+VTA+Ind+Pos+Dub+3SgProxSubj+2PlObj', 'mizho+VTA+Ind+Pos+Dub+3SgProxSubj+2PlObj']"
229,gimizhogodog,"['mizhwi+VTA+Ind+Pos+Dub+3SgProxSubj+2SgObj', 'mizho+VTA+Ind+Pos+Dub+3SgProxSubj+2SgObj']"
230,omizhwaadogena',"['mizhwi+VTA+Ind+Pos+Dub+3SgProxSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+3SgProxSubj+3PlObvObj']"
231,omikawaadogenan,"['mikaw+VTA+Ind+Pos+Dub+3SgProxSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Dub+3SgProxSubj+3PlObvObj']"
232,owaabamaadogenan,"['waabam+VTA+Ind+Pos+Dub+3SgProxSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Dub+3SgProxSubj+3PlObvObj']"
233,omizhwaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+3SgProxSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Dub+3SgProxSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Dub+3SgProxSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+3SgProxSubj+3PlObvObj']"
234,omiinaadogenan,"['miizh+VTA+Ind+Pos+Dub+3SgProxSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Dub+3SgProxSubj+3PlObvObj']"
235,omawadisaadogenan,"['mawadish+VTA+Ind+Pos+Dub+3SgProxSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Dub+3SgProxSubj+3PlObvObj']"
236,gimikaagoomwaadog,"['mikaw+VTA+Ind+Pos+Dub+XSubj+2PlObj', 'mikaw+VTA+Ind+Pos+Dub+ExclSubj+2PlObj']"
237,giwaabamigoomwaadog,"['waabam+VTA+Ind+Pos+Dub+XSubj+2PlObj', 'waabam+VTA+Ind+Pos+Dub+ExclSubj+2PlObj']"
238,gimizhogoomwaadog,"['mizhwi+VTA+Ind+Pos+Dub+XSubj+2PlObj', 'mizho+VTA+Ind+Pos+Dub+XSubj+2PlObj', 'mizhwi+VTA+Ind+Pos+Dub+ExclSubj+2PlObj', 'mizho+VTA+Ind+Pos+Dub+ExclSubj+2PlObj']"
239,gimiinigoomwaadog,"['miizh+VTA+Ind+Pos+Dub+XSubj+2PlObj', 'miizh+VTA+Ind+Pos+Dub+ExclSubj+2PlObj']"
240,gimawadisigoomwaadog,"['mawadish+VTA+Ind+Pos+Dub+XSubj+2PlObj', 'mawadish+VTA+Ind+Pos+Dub+ExclSubj+2PlObj']"
241,gimikaagoonaadog,"['mikaw+VTA+Ind+Pos+Dub+ExclSubj+2SgObj', 'mikaw+VTA+Ind+Pos+Dub+XSubj+2SgObj']"
242,giwaabamigoonaadog,"['waabam+VTA+Ind+Pos+Dub+XSubj+2SgObj', 'waabam+VTA+Ind+Pos+Dub+ExclSubj+2SgObj']"
243,gimizhogoonaadog,"['mizhwi+VTA+Ind+Pos+Dub+XSubj+2SgObj', 'mizho+VTA+Ind+Pos+Dub+XSubj+2SgObj', 'mizhwi+VTA+Ind+Pos+Dub+ExclSubj+2SgObj', 'mizho+VTA+Ind+Pos+Dub+ExclSubj+2SgObj']"
244,gimiinigoonaadog,"['miizh+VTA+Ind+Pos+Dub+XSubj+2SgObj', 'miizh+VTA+Ind+Pos+Dub+ExclSubj+2SgObj']"
245,gimawadisigoonaadog,"['mawadish+VTA+Ind+Pos+Dub+XSubj+2SgObj', 'mawadish+VTA+Ind+Pos+Dub+ExclSubj+2SgObj']"
246,nimikawaanaadogenag,"['mikaw+VTA+Ind+Pos+Dub+ExclSubj+3PlProxObj', 'mikaw+VTA+Ind+Pos+Dub+ExclSubj+3PlObvObj']"
247,niwaabamaanaadogenag,"['waabam+VTA+Ind+Pos+Dub+ExclSubj+3PlProxObj', 'waabam+VTA+Ind+Pos+Dub+ExclSubj+3PlObvObj']"
248,nimizhwaanaadogenag,"['mizhwi+VTA+Ind+Pos+Dub+ExclSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Dub+ExclSubj+3PlProxObj', 'mizhwi+VTA+Ind+Pos+Dub+ExclSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+ExclSubj+3PlObvObj']"
249,nimiinaanaadogenag,"['miizh+VTA+Ind+Pos+Dub+ExclSubj+3PlProxObj', 'miizh+VTA+Ind+Pos+Dub+ExclSubj+3PlObvObj']"
250,nimawadisaanaadogenag,"['mawadish+VTA+Ind+Pos+Dub+ExclSubj+3PlProxObj', 'mawadish+VTA+Ind+Pos+Dub+ExclSubj+3PlObvObj']"
251,nimizhwaanaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+ExclSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Dub+ExclSubj+3SgObvObj']"
252,nimizhwaanaadog,"['mizhwi+VTA+Ind+Pos+Dub+ExclSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Dub+ExclSubj+3SgProxObj']"
253,gimikawaanaadogenag,"['mikaw+VTA+Ind+Pos+Dub+InclSubj+3PlProxObj', 'mikaw+VTA+Ind+Pos+Dub+InclSubj+3PlObvObj']"
254,giwaabamaanaadogenag,"['waabam+VTA+Ind+Pos+Dub+InclSubj+3PlProxObj', 'waabam+VTA+Ind+Pos+Dub+InclSubj+3PlObvObj']"
255,gimizhwaanaadogenag,"['mizhwi+VTA+Ind+Pos+Dub+InclSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Dub+InclSubj+3PlProxObj', 'mizhwi+VTA+Ind+Pos+Dub+InclSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+InclSubj+3PlObvObj']"
256,gimiinaanaadogenag,"['miizh+VTA+Ind+Pos+Dub+InclSubj+3PlProxObj', 'miizh+VTA+Ind+Pos+Dub+InclSubj+3PlObvObj']"
257,gimawadisaanaadogenag,"['mawadish+VTA+Ind+Pos+Dub+InclSubj+3PlProxObj', 'mawadish+VTA+Ind+Pos+Dub+InclSubj+3PlObvObj']"
258,gimizhwaanaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+InclSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Dub+InclSubj+3SgObvObj']"
259,gimizhwaanaadog,"['mizhwi+VTA+Ind+Pos+Dub+InclSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Dub+InclSubj+3SgProxObj']"
260,nimizhogoonaadog,"['mizhwi+VTA+Ind+Pos+Dub+XSubj+1SgObj', 'mizho+VTA+Ind+Pos+Dub+XSubj+1SgObj']"
261,mizhomaadogena',"['mizhwi+VTA+Ind+Pos+Dub+XSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+XSubj+3PlObvObj']"
262,mizhwaadogenag,"['mizhwi+VTA+Ind+Pos+Dub+XSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Dub+XSubj+3PlProxObj']"
263,mikawimaadogenan,"['mikaw+VTA+Ind+Pos+Dub+XSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Dub+XSubj+3PlObvObj']"
264,waabamimaadogenan,"['waabam+VTA+Ind+Pos+Dub+XSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Dub+XSubj+3PlObvObj']"
265,mizhomaadogenan,"['mizhwi+VTA+Ind+Pos+Dub+XSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Dub+XSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Dub+XSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Dub+XSubj+3PlObvObj']"
266,miinimaadogenan,"['miizh+VTA+Ind+Pos+Dub+XSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Dub+XSubj+3PlObvObj']"
267,mawadisimaadogenan,"['mawadish+VTA+Ind+Pos+Dub+XSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Dub+XSubj+3PlObvObj']"
268,mizhwaadog,"['mizhwi+VTA+Ind+Pos+Dub+XSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Dub+XSubj+3SgProxObj']"
269,nimizhogoominaadog,"['mizhwi+VTA+Ind+Pos+Dub+XSubj+ExclObj', 'mizho+VTA+Ind+Pos+Dub+XSubj+ExclObj']"
270,gimizhogoominaadog,"['mizhwi+VTA+Ind+Pos+Dub+XSubj+InclObj', 'mizho+VTA+Ind+Pos+Dub+XSubj+InclObj']"
271,nimizhogosiinan,"['mizhwi+VTA+Ind+Neg+Neu+0PlSubj+1SgObj', 'mizho+VTA+Ind+Neg+Neu+0PlSubj+1SgObj']"
272,gimizhogosiinaawaan,"['mizhwi+VTA+Ind+Neg+Neu+0PlSubj+2PlObj', 'mizho+VTA+Ind+Neg+Neu+0PlSubj+2PlObj']"
273,gimizhogosiinan,"['mizhwi+VTA+Ind+Neg+Neu+0PlSubj+2SgObj', 'mizho+VTA+Ind+Neg+Neu+0PlSubj+2SgObj']"
274,omizhogosiinaawan,"['mizhwi+VTA+Ind+Neg+Neu+0PlSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+0PlSubj+3PlObvObj']"
