wordform,fst_analyses
miinigosiinigwen,"['miizh+VTA+Cnj+Neg+Dub+0PlSubj+3PlObvObj', 'miizh+VTA+Cnj+Neg+Dub+0SgSubj+3PlObvObj', 'miizh+VTA+Cnj+Neg+Dub+0PlSubj+3SgObvObj', 'miizh+VTA+Cnj+Neg+Dub+0SgSubj+3SgObvObj']"
mikaagosiinigwen,"['mikaw+VTA+Cnj+Neg+Dub+0PlSubj+3PlObvObj', 'mikaw+VTA+Cnj+Neg+Dub+0SgSubj+3PlObvObj', 'mikaw+VTA+Cnj+Neg+Dub+0PlSubj+3SgObvObj', 'mikaw+VTA+Cnj+Neg+Dub+0SgSubj+3SgObvObj']"
mizhogosiinigwen,"['mizhwi+VTA+Cnj+Neg+Dub+0PlSubj+3PlObvObj', 'mizho+VTA+Cnj+Neg+Dub+0PlSubj+3PlObvObj', 'mizhwi+VTA+Cnj+Neg+Dub+0SgSubj+3PlObvObj', 'mizho+VTA+Cnj+Neg+Dub+0SgSubj+3PlObvObj', 'mizhwi+VTA+Cnj+Neg+Dub+0PlSubj+3SgObvObj', 'mizho+VTA+Cnj+Neg+Dub+0PlSubj+3SgObvObj', 'mizhwi+VTA+Cnj+Neg+Dub+0SgSubj+3SgObvObj', 'mizho+VTA+Cnj+Neg+Dub+0SgSubj+3SgObvObj']"
waabamigosiinigwen,"['waabam+VTA+Cnj+Neg+Dub+0PlSubj+3PlObvObj', 'waabam+VTA+Cnj+Neg+Dub+0SgSubj+3PlObvObj', 'waabam+VTA+Cnj+Neg+Dub+0PlSubj+3SgObvObj', 'waabam+VTA+Cnj+Neg+Dub+0SgSubj+3SgObvObj']"
mawadisigonigwen,"['mawadish+VTA+Cnj+Pos+Dub+0PlSubj+3SgObvObj', 'mawadish+VTA+Cnj+Pos+Dub+0SgSubj+3SgObvObj', 'mawadish+VTA+Cnj+Pos+Dub+0PlSubj+3PlObvObj', 'mawadish+VTA+Cnj+Pos+Dub+0SgSubj+3PlObvObj']"
miinigonigwen,"['miizh+VTA+Cnj+Pos+Dub+0PlSubj+3SgObvObj', 'miizh+VTA+Cnj+Pos+Dub+0SgSubj+3SgObvObj', 'miizh+VTA+Cnj+Pos+Dub+0PlSubj+3PlObvObj', 'miizh+VTA+Cnj+Pos+Dub+0SgSubj+3PlObvObj']"
mikaagonigwen,"['mikaw+VTA+Cnj+Pos+Dub+0PlSubj+3PlObvObj', 'mikaw+VTA+Cnj+Pos+Dub+0SgSubj+3PlObvObj', 'mikaw+VTA+Cnj+Pos+Dub+0PlSubj+3SgObvObj', 'mikaw+VTA+Cnj+Pos+Dub+0SgSubj+3SgObvObj']"
mizhogonigwen,"['mizhwi+VTA+Cnj+Pos+Dub+0PlSubj+3SgObvObj', 'mizho+VTA+Cnj+Pos+Dub+0PlSubj+3SgObvObj', 'mizhwi+VTA+Cnj+Pos+Dub+0SgSubj+3SgObvObj', 'mizho+VTA+Cnj+Pos+Dub+0SgSubj+3SgObvObj', 'mizhwi+VTA+Cnj+Pos+Dub+0PlSubj+3PlObvObj', 'mizho+VTA+Cnj+Pos+Dub+0PlSubj+3PlObvObj', 'mizhwi+VTA+Cnj+Pos+Dub+0SgSubj+3PlObvObj', 'mizho+VTA+Cnj+Pos+Dub+0SgSubj+3PlObvObj']"
waabamigonigwen,"['waabam+VTA+Cnj+Pos+Dub+0PlSubj+3SgObvObj', 'waabam+VTA+Cnj+Pos+Dub+0SgSubj+3SgObvObj', 'waabam+VTA+Cnj+Pos+Dub+0PlSubj+3PlObvObj', 'waabam+VTA+Cnj+Pos+Dub+0SgSubj+3PlObvObj']"
mawadisigosiiwaagwen,"['mawadish+VTA+Cnj+Neg+Dub+3PlObvSubj+3PlProxObj', 'mawadish+VTA+Cnj+Neg+Dub+3SgObvSubj+3PlProxObj', 'mawadish+VTA+Cnj+Neg+Dub+0PlSubj+3PlProxObj', 'mawadish+VTA+Cnj+Neg+Dub+0SgSubj+3PlProxObj']"
miinigosiiwaagwen,"['miizh+VTA+Cnj+Neg+Dub+3PlObvSubj+3PlProxObj', 'miizh+VTA+Cnj+Neg+Dub+3SgObvSubj+3PlProxObj', 'miizh+VTA+Cnj+Neg+Dub+0PlSubj+3PlProxObj', 'miizh+VTA+Cnj+Neg+Dub+0SgSubj+3PlProxObj']"
mikaagosiiwaagwen,"['mikaw+VTA+Cnj+Neg+Dub+3PlObvSubj+3PlProxObj', 'mikaw+VTA+Cnj+Neg+Dub+3SgObvSubj+3PlProxObj', 'mikaw+VTA+Cnj+Neg+Dub+0PlSubj+3PlProxObj', 'mikaw+VTA+Cnj+Neg+Dub+0SgSubj+3PlProxObj']"
mizhogosiiwaagwen,"['mizhwi+VTA+Cnj+Neg+Dub+3PlObvSubj+3PlProxObj', 'mizho+VTA+Cnj+Neg+Dub+3PlObvSubj+3PlProxObj', 'mizhwi+VTA+Cnj+Neg+Dub+3SgObvSubj+3PlProxObj', 'mizho+VTA+Cnj+Neg+Dub+3SgObvSubj+3PlProxObj', 'mizhwi+VTA+Cnj+Neg+Dub+0PlSubj+3PlProxObj', 'mizho+VTA+Cnj+Neg+Dub+0PlSubj+3PlProxObj', 'mizhwi+VTA+Cnj+Neg+Dub+0SgSubj+3PlProxObj', 'mizho+VTA+Cnj+Neg+Dub+0SgSubj+3PlProxObj']"
waabamigosiiwaagwen,"['waabam+VTA+Cnj+Neg+Dub+3PlObvSubj+3PlProxObj', 'waabam+VTA+Cnj+Neg+Dub+3SgObvSubj+3PlProxObj', 'waabam+VTA+Cnj+Neg+Dub+0PlSubj+3PlProxObj', 'waabam+VTA+Cnj+Neg+Dub+0SgSubj+3PlProxObj']"
mawadisigowaagwen,"['mawadish+VTA+Cnj+Pos+Dub+3PlObvSubj+3PlProxObj', 'mawadish+VTA+Cnj+Pos+Dub+3SgObvSubj+3PlProxObj', 'mawadish+VTA+Cnj+Pos+Dub+0PlSubj+3PlProxObj', 'mawadish+VTA+Cnj+Pos+Dub+0SgSubj+3PlProxObj']"
miinigowaagwen,"['miizh+VTA+Cnj+Pos+Dub+3PlObvSubj+3PlProxObj', 'miizh+VTA+Cnj+Pos+Dub+3SgObvSubj+3PlProxObj', 'miizh+VTA+Cnj+Pos+Dub+0PlSubj+3PlProxObj', 'miizh+VTA+Cnj+Pos+Dub+0SgSubj+3PlProxObj']"
mikaagowaagwen,"['mikaw+VTA+Cnj+Pos+Dub+3PlObvSubj+3PlProxObj', 'mikaw+VTA+Cnj+Pos+Dub+3SgObvSubj+3PlProxObj', 'mikaw+VTA+Cnj+Pos+Dub+0PlSubj+3PlProxObj', 'mikaw+VTA+Cnj+Pos+Dub+0SgSubj+3PlProxObj']"
mizhogowaagwen,"['mizhwi+VTA+Cnj+Pos+Dub+3PlObvSubj+3PlProxObj', 'mizho+VTA+Cnj+Pos+Dub+3PlObvSubj+3PlProxObj', 'mizhwi+VTA+Cnj+Pos+Dub+3SgObvSubj+3PlProxObj', 'mizho+VTA+Cnj+Pos+Dub+3SgObvSubj+3PlProxObj', 'mizhwi+VTA+Cnj+Pos+Dub+0PlSubj+3PlProxObj', 'mizho+VTA+Cnj+Pos+Dub+0PlSubj+3PlProxObj', 'mizhwi+VTA+Cnj+Pos+Dub+0SgSubj+3PlProxObj', 'mizho+VTA+Cnj+Pos+Dub+0SgSubj+3PlProxObj']"
