wordform,fst_analyses
owanitoosiinan,"['wanitoon+VTI+Ind+Neg+Neu+3SgProxSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Neu+3SgProxSubj+0SgObj', 'wanitoon+VTI+Ind+Neg+Neu+3PlObvSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Neu+3SgObvSubj+0PlObj']"
owanitoosiinaawaan,"['wanitoon+VTI+Ind+Neg+Neu+3PlProxSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Neu+3PlProxSubj+0SgObj']"
nidayaasiimin,"['ayaa+VAI+Ind+Neg+Neu+ExclSubj', 'ayaan+VTI+Ind+Neg+Neu+ExclSubj+0PlObj', 'ayaan+VTI+Ind+Neg+Neu+ExclSubj+0SgObj']"
niwaabandanziimin,"['waabandan+VTI+Ind+Neg+Neu+ExclSubj+0PlObj', 'waabandan+VTI+Ind+Neg+Neu+ExclSubj+0SgObj']"
nimiijisiimin,"['miijin+VTI+Ind+Neg+Neu+ExclSubj+0PlObj', 'miijin+VTI+Ind+Neg+Neu+ExclSubj+0SgObj']"
niwanitoosiimin,"['wanitoon+VTI+Ind+Neg+Neu+ExclSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Neu+ExclSubj+0SgObj']"
gidayaasiimin,"['ayaa+VAI+Ind+Neg+Neu+InclSubj', 'ayaan+VTI+Ind+Neg+Neu+InclSubj+0PlObj', 'ayaan+VTI+Ind+Neg+Neu+InclSubj+0SgObj']"
giwaabandanziimin,"['waabandan+VTI+Ind+Neg+Neu+InclSubj+0PlObj', 'waabandan+VTI+Ind+Neg+Neu+InclSubj+0SgObj']"
gimiijisiimin,"['miijin+VTI+Ind+Neg+Neu+InclSubj+0PlObj', 'miijin+VTI+Ind+Neg+Neu+InclSubj+0SgObj']"
giwanitoosiimin,"['wanitoon+VTI+Ind+Neg+Neu+InclSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Neu+InclSubj+0SgObj']"
nidayaasiin,"['ayaa+VAI+Ind+Neg+Neu+1SgSubj', 'ayaan+VTI+Ind+Neg+Neu+1SgSubj+0SgObj']"
gidayaasiin,"['ayaa+VAI+Ind+Neg+Neu+2SgSubj', 'ayaan+VTI+Ind+Neg+Neu+2SgSubj+0SgObj']"
owaabandanziinini,"['waabandan+VTI+Ind+Neg+Neu+3PlObvSubj+0PlObj', 'waabandan+VTI+Ind+Neg+Neu+3SgObvSubj+0PlObj', 'waabandan+VTI+Ind+Neg+Neu+3PlObvSubj+0SgObj', 'waabandan+VTI+Ind+Neg+Neu+3SgObvSubj+0SgObj']"
omiijisiinini,"['miijin+VTI+Ind+Neg+Neu+3PlObvSubj+0PlObj', 'miijin+VTI+Ind+Neg+Neu+3SgObvSubj+0PlObj', 'miijin+VTI+Ind+Neg+Neu+3PlObvSubj+0SgObj', 'miijin+VTI+Ind+Neg+Neu+3SgObvSubj+0SgObj']"
owanitoosiinini,"['wanitoon+VTI+Ind+Neg+Neu+3PlObvSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Neu+3SgObvSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Neu+3PlObvSubj+0SgObj', 'wanitoon+VTI+Ind+Neg+Neu+3SgObvSubj+0SgObj']"
gimiijinaawaan,"['miijin+VTI+Ind+Pos+Neu+2PlSubj+0PlObj', 'miijizh+VTA+Ind+Pos+Neu+2PlSubj+3SgObvObj']"
owaabandaanan,"['waabandan+VTI+Ind+Pos+Neu+3PlObvSubj+0PlObj', 'waabandan+VTI+Ind+Pos+Neu+3SgObvSubj+0PlObj', 'waabandan+VTI+Ind+Pos+Neu+3SgProxSubj+0PlObj']"
omiijinini,"['miijin+VTI+Ind+Pos+Neu+3PlObvSubj+0SgObj', 'miijin+VTI+Ind+Pos+Neu+3SgObvSubj+0SgObj', 'miijin+VTI+Ind+Pos+Neu+3PlObvSubj+0PlObj', 'miijin+VTI+Ind+Pos+Neu+3SgObvSubj+0PlObj']"
owanitoonan,"['wanitoon+VTI+Ind+Pos+Neu+3PlObvSubj+0PlObj', 'wanitoon+VTI+Ind+Pos+Neu+3SgObvSubj+0PlObj', 'wanitoon+VTI+Ind+Pos+Neu+3SgProxSubj+0PlObj']"
omiijinaawaan,"['miijin+VTI+Ind+Pos+Neu+3PlProxSubj+0PlObj', 'miijizh+VTA+Ind+Pos+Neu+3PlProxSubj+3PlObvObj', 'miijizh+VTA+Ind+Pos+Neu+3PlProxSubj+3SgObvObj']"
omiijinan,"['miijin+VTI+Ind+Pos+Neu+3SgProxSubj+0PlObj', 'miijin+VTI+Ind+Pos+Neu+3PlObvSubj+0PlObj', 'miijin+VTI+Ind+Pos+Neu+3SgObvSubj+0PlObj']"
nidayaamin,"['ayaa+VAI+Ind+Pos+Neu+ExclSubj', 'ayaan+VTI+Ind+Pos+Neu+ExclSubj+0SgObj', 'ayaan+VTI+Ind+Pos+Neu+ExclSubj+0PlObj']"
niwaabandaamin,"['waabandan+VTI+Ind+Pos+Neu+ExclSubj+0SgObj', 'waabandan+VTI+Ind+Pos+Neu+ExclSubj+0PlObj']"
nimiijimin,"['miijin+VTI+Ind+Pos+Neu+ExclSubj+0SgObj', 'miijin+VTI+Ind+Pos+Neu+ExclSubj+0PlObj']"
niwanitoomin,"['wanitoon+VTI+Ind+Pos+Neu+ExclSubj+0SgObj', 'wanitoon+VTI+Ind+Pos+Neu+ExclSubj+0PlObj']"
gidayaamin,"['ayaa+VAI+Ind+Pos+Neu+InclSubj', 'ayaan+VTI+Ind+Pos+Neu+InclSubj+0SgObj', 'ayaan+VTI+Ind+Pos+Neu+InclSubj+0PlObj']"
giwaabandaamin,"['waabandan+VTI+Ind+Pos+Neu+InclSubj+0SgObj', 'waabandan+VTI+Ind+Pos+Neu+InclSubj+0PlObj']"
gimiijimin,"['miijin+VTI+Ind+Pos+Neu+InclSubj+0SgObj', 'miijin+VTI+Ind+Pos+Neu+InclSubj+0PlObj']"
giwanitoomin,"['wanitoon+VTI+Ind+Pos+Neu+InclSubj+0SgObj', 'wanitoon+VTI+Ind+Pos+Neu+InclSubj+0PlObj']"
gimiijinaawaa,"['miijizh+VTA+Ind+Pos+Neu+2PlSubj+3SgProxObj', 'miijin+VTI+Ind+Pos+Neu+2PlSubj+0SgObj']"
giwanitoon,"['wanitaw+VTA+Ind+Pos+Neu+1SgSubj+2SgObj', 'wanitoon+VTI+Ind+Pos+Neu+2SgSubj+0SgObj']"
owaabandamini,"['waabandan+VTI+Ind+Pos+Neu+3PlObvSubj+0SgObj', 'waabandan+VTI+Ind+Pos+Neu+3SgObvSubj+0SgObj', 'waabandan+VTI+Ind+Pos+Neu+3PlObvSubj+0PlObj', 'waabandan+VTI+Ind+Pos+Neu+3SgObvSubj+0PlObj']"
owanitoonini,"['wanitoon+VTI+Ind+Pos+Neu+3PlObvSubj+0PlObj', 'wanitoon+VTI+Ind+Pos+Neu+3SgObvSubj+0PlObj', 'wanitoon+VTI+Ind+Pos+Neu+3PlObvSubj+0SgObj', 'wanitoon+VTI+Ind+Pos+Neu+3SgObvSubj+0SgObj']"
odayaasiininaabaniin,"['ayaan+VTI+Ind+Neg+Prt+3PlObvSubj+0PlObj', 'ayaan+VTI+Ind+Neg+Prt+3SgObvSubj+0PlObj']"
owaabandanziininaabaniin,"['waabandan+VTI+Ind+Neg+Prt+3PlObvSubj+0PlObj', 'waabandan+VTI+Ind+Neg+Prt+3SgObvSubj+0PlObj']"
omiijisiininaabaniin,"['miijin+VTI+Ind+Neg+Prt+3PlObvSubj+0PlObj', 'miijin+VTI+Ind+Neg+Prt+3SgObvSubj+0PlObj']"
owanitoosiinininaabaniin,"['wanitoon+VTI+Ind+Neg+Prt+3PlObvSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Prt+3SgObvSubj+0PlObj']"
