wordform,fst_analyses
atemagadini,"['ate+VII+Aug/magad+VII+Ind+Pos+Neu+0SgObvSubj', 'atemagad+VII+Ind+Pos+Neu+0SgObvSubj']"
dakaagaminini,"['dakaagamin+VII+Ind+Pos+Neu+0SgObvSubj', 'dakaagami+VII+Ind+Pos+Neu+0SgObvSubj']"
atemagad,"['ate+VII+Aug/magad+VII+Ind+Pos+Neu+0SgSubj', 'atemagad+VII+Ind+Pos+Neu+0SgSubj']"
dakaagami,"['dakaagamin+VII+Ind+Pos+Neu+0SgSubj', 'dakaagami+VII+Ind+Pos+Neu+0SgSubj']"
gonzaabii,"['gonzaabii+VAI+Ind+Pos+Neu+3SgProxSubj', 'gonzaabii+VII+Ind+Pos+Neu+0SgSubj']"
atemagasininiibaniin,"['ate+VII+Aug/magad+VII+Ind+Neg+Prt+0PlObvSubj', 'atemagad+VII+Ind+Neg+Prt+0PlObvSubj']"
atemagasinoobaniin,"['ate+VII+Aug/magad+VII+Ind+Neg+Prt+0PlSubj', 'atemagad+VII+Ind+Neg+Prt+0PlSubj']"
atemagasininiiban,"['ate+VII+Aug/magad+VII+Ind+Neg+Prt+0SgObvSubj', 'atemagad+VII+Ind+Neg+Prt+0SgObvSubj']"
atemagasinooban,"['ate+VII+Aug/magad+VII+Ind+Neg+Prt+0SgSubj', 'atemagad+VII+Ind+Neg+Prt+0SgSubj']"
atemagadiniibaniin,"['ate+VII+Aug/magad+VII+Ind+Pos+Prt+0PlObvSubj', 'atemagad+VII+Ind+Pos+Prt+0PlObvSubj']"
atemagadoobaniin,"['ate+VII+Aug/magad+VII+Ind+Pos+Prt+0PlSubj', 'atemagad+VII+Ind+Pos+Prt+0PlSubj']"
gonzaabiibaniin,"['gonzaabii+VAI+Ind+Pos+Prt+3SgObvSubj', 'gonzaabii+VII+Ind+Pos+Prt+0PlSubj', 'gonzaabii+VAI+Ind+Pos+Prt+3PlObvSubj']"
atemagadiniiban,"['ate+VII+Aug/magad+VII+Ind+Pos+Prt+0SgObvSubj', 'atemagad+VII+Ind+Pos+Prt+0SgObvSubj']"
atemagadooban,"['ate+VII+Aug/magad+VII+Ind+Pos+Prt+0SgSubj', 'atemagad+VII+Ind+Pos+Prt+0SgSubj']"
gonzaabiiban,"['gonzaabii+VAI+Ind+Pos+Prt+3SgProxSubj', 'gonzaabii+VII+Ind+Pos+Prt+0SgSubj']"
