wordform,fst_analyses
adaawenipan,"['adaawe+VAI+Cnj+Pos+Prt+3PlObvSubj', 'adaawe+VAI+Cnj+Pos+Prt+3SgObvSubj', 'adaawen+VAIO+Cnj+Pos+Prt+3PlObvSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Prt+3SgObvSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Prt+3PlObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+Prt+3SgObvSubj+0PlObj']"
adaawengiban,"['adaawe+VAI+Cnj+Pos+Prt+XSubj', 'adaawen+VAIO+Cnj+Pos+Prt+XSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+Prt+XSubj+0SgObj']"
adaawesiwaambaan,"['adaawe+VAI+Cnj+Neg+Prt+1SgSubj', 'adaawen+VAIO+Cnj+Neg+Prt+1SgSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Prt+1SgSubj+0SgObj']"
adaawesiwamban,"['adaawe+VAI+Cnj+Neg+Prt+2SgSubj', 'adaawen+VAIO+Cnj+Neg+Prt+2SgSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Prt+2SgSubj+0SgObj']"
adaawesiwaangiban,"['adaawe+VAI+Cnj+Neg+Prt+ExclSubj', 'adaawen+VAIO+Cnj+Neg+Prt+ExclSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Prt+ExclSubj+0SgObj']"
adaawesiwangiban,"['adaawe+VAI+Cnj+Neg+Prt+InclSubj', 'adaawen+VAIO+Cnj+Neg+Prt+InclSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Prt+InclSubj+0SgObj']"
adaawesiwegoban,"['adaawen+VAIO+Cnj+Neg+Prt+2PlSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Prt+2PlSubj+0SgObj']"
adaawesigoban,"['adaawe+VAI+Cnj+Neg+Prt+3SgProxSubj', 'adaawen+VAIO+Cnj+Neg+Prt+3SgProxSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Prt+3SgProxSubj+0SgObj']"
adaawesigwaaban,"['adaawe+VAI+Cnj+Neg+Prt+3PlProxSubj', 'adaawen+VAIO+Cnj+Neg+Prt+3PlProxSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Prt+3PlProxSubj+0SgObj']"
adaawesinigoban,"['adaawe+VAI+Cnj+Neg+Prt+3PlObvSubj', 'adaawe+VAI+Cnj+Neg+Prt+3SgObvSubj', 'adaawen+VAIO+Cnj+Neg+Prt+3PlObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Prt+3SgObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Prt+3PlObvSubj+0SgObj', 'adaawen+VAIO+Cnj+Neg+Prt+3SgObvSubj+0SgObj']"
adaawesingiban,"['adaawe+VAI+Cnj+Neg+Prt+XSubj', 'adaawen+VAIO+Cnj+Neg+Prt+XSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Prt+XSubj+0SgObj']"
adaawewaanen,"['adaawe+VAI+Cnj+Pos+Dub+1SgSubj', 'adaawen+VAIO+Cnj+Pos+Dub+1SgSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+Dub+1SgSubj+0SgObj']"
adaawewanen,"['adaawe+VAI+Cnj+Pos+Dub+2SgSubj', 'adaawen+VAIO+Cnj+Pos+Dub+2SgSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Dub+2SgSubj+0PlObj']"
adaawewaangen,"['adaawe+VAI+Cnj+Pos+Dub+ExclSubj', 'adaawen+VAIO+Cnj+Pos+Dub+ExclSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+Dub+ExclSubj+0SgObj']"
adaawewangen,"['adaawe+VAI+Cnj+Pos+Dub+InclSubj', 'adaawen+VAIO+Cnj+Pos+Dub+InclSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+Dub+InclSubj+0SgObj']"
adaawewegwen,"['adaawe+VAI+Cnj+Pos+Dub+2PlSubj', 'adaawen+VAIO+Cnj+Pos+Dub+2PlSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+Dub+2PlSubj+0SgObj']"
adaawegwen,"['adaawe+VAI+Cnj+Pos+Dub+3SgProxSubj', 'adaawen+VAIO+Cnj+Pos+Dub+3SgProxSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Dub+3SgProxSubj+0PlObj']"
adaawewaagwen,"['adaawe+VAI+Cnj+Pos+Dub+3PlProxSubj', 'adaawen+VAIO+Cnj+Pos+Dub+3PlProxSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+Dub+3PlProxSubj+0SgObj']"
adaawenigwen,"['adaawe+VAI+Cnj+Pos+Dub+3PlObvSubj', 'adaawe+VAI+Cnj+Pos+Dub+3SgObvSubj', 'adaawen+VAIO+Cnj+Pos+Dub+3PlObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+Dub+3SgObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+Dub+3PlObvSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Dub+3SgObvSubj+0SgObj']"
adaawewiingen,"['adaawe+VAI+Cnj+Pos+Dub+XSubj', 'adaawen+VAIO+Cnj+Pos+Dub+XSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+Dub+XSubj+0SgObj']"
adaawesiiwaanen,"['adaawe+VAI+Cnj+Neg+Dub+1SgSubj', 'adaawen+VAIO+Cnj+Neg+Dub+1SgSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Dub+1SgSubj+0SgObj']"
adaawesiiwanen,"['adaawe+VAI+Cnj+Neg+Dub+2SgSubj', 'adaawen+VAIO+Cnj+Neg+Dub+2SgSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Dub+2SgSubj+0SgObj']"
adaawesiiwaangen,"['adaawe+VAI+Cnj+Neg+Dub+ExclSubj', 'adaawen+VAIO+Cnj+Neg+Dub+ExclSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Dub+ExclSubj+0SgObj']"
adaawesiiwangen,"['adaawe+VAI+Cnj+Neg+Dub+InclSubj', 'adaawen+VAIO+Cnj+Neg+Dub+InclSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Dub+InclSubj+0SgObj']"
adaawesiiwegwen,"['adaawe+VAI+Cnj+Neg+Dub+2PlSubj', 'adaawen+VAIO+Cnj+Neg+Dub+2PlSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Dub+2PlSubj+0SgObj']"
adaawesiigwen,"['adaawe+VAI+Cnj+Neg+Dub+3SgProxSubj', 'adaawen+VAIO+Cnj+Neg+Dub+3SgProxSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Dub+3SgProxSubj+0SgObj']"
adaawesiiwaagwen,"['adaawe+VAI+Cnj+Neg+Dub+3PlProxSubj', 'adaawen+VAIO+Cnj+Neg+Dub+3PlProxSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Dub+3PlProxSubj+0SgObj']"
adaawesiinigwen,"['adaawe+VAI+Cnj+Neg+Dub+3PlObvSubj', 'adaawe+VAI+Cnj+Neg+Dub+3SgObvSubj', 'adaawen+VAIO+Cnj+Neg+Dub+3PlObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Dub+3SgObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Dub+3PlObvSubj+0SgObj', 'adaawen+VAIO+Cnj+Neg+Dub+3SgObvSubj+0SgObj']"
adaawesiiwiingen,"['adaawe+VAI+Cnj+Neg+Dub+XSubj', 'adaawen+VAIO+Cnj+Neg+Dub+XSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Dub+XSubj+0SgObj']"
adaawewaambaanen,"['adaawe+VAI+Cnj+Pos+DubPrt+1SgSubj', 'adaawen+VAIO+Cnj+Pos+DubPrt+1SgSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+DubPrt+1SgSubj+0SgObj']"
adaawewambanen,"['adaawe+VAI+Cnj+Pos+DubPrt+2SgSubj', 'adaawen+VAIO+Cnj+Pos+DubPrt+2SgSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+DubPrt+2SgSubj+0SgObj']"
adaawewaangibanen,"['adaawe+VAI+Cnj+Pos+DubPrt+ExclSubj', 'adaawen+VAIO+Cnj+Pos+DubPrt+ExclSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+DubPrt+ExclSubj+0SgObj']"
adaawewangibanen,"['adaawe+VAI+Cnj+Pos+DubPrt+InclSubj', 'adaawen+VAIO+Cnj+Pos+DubPrt+InclSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+DubPrt+InclSubj+0SgObj']"
adaawewegobanen,"['adaawen+VAIO+Cnj+Pos+DubPrt+2PlSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+DubPrt+2PlSubj+0SgObj']"
adaawegobanen,"['adaawe+VAI+Cnj+Pos+DubPrt+3SgProxSubj', 'adaawen+VAIO+Cnj+Pos+DubPrt+3SgProxSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+DubPrt+3SgProxSubj+0SgObj']"
adaawewaagobanen,"['adaawe+VAI+Cnj+Pos+DubPrt+3PlProxSubj', 'adaawen+VAIO+Cnj+Pos+DubPrt+3PlProxSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+DubPrt+3PlProxSubj+0SgObj']"
adaawenigobanen,"['adaawe+VAI+Cnj+Pos+DubPrt+3PlObvSubj', 'adaawe+VAI+Cnj+Pos+DubPrt+3SgObvSubj', 'adaawen+VAIO+Cnj+Pos+DubPrt+3PlObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+DubPrt+3SgObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+DubPrt+3PlObvSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+DubPrt+3SgObvSubj+0SgObj']"
adaawewiingibanen,"['adaawe+VAI+Cnj+Pos+DubPrt+XSubj', 'adaawen+VAIO+Cnj+Pos+DubPrt+XSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+DubPrt+XSubj+0SgObj']"
adaawesiiwaambaanen,"['adaawe+VAI+Cnj+Neg+DubPrt+1SgSubj', 'adaawen+VAIO+Cnj+Neg+DubPrt+1SgSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+DubPrt+1SgSubj+0SgObj']"
adaawesiiwambanen,"['adaawe+VAI+Cnj+Neg+DubPrt+2SgSubj', 'adaawen+VAIO+Cnj+Neg+DubPrt+2SgSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+DubPrt+2SgSubj+0SgObj']"
adaawesiiwaangibanen,"['adaawe+VAI+Cnj+Neg+DubPrt+ExclSubj', 'adaawen+VAIO+Cnj+Neg+DubPrt+ExclSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+DubPrt+ExclSubj+0SgObj']"
adaawesiiwangibanen,"['adaawe+VAI+Cnj+Neg+DubPrt+InclSubj', 'adaawen+VAIO+Cnj+Neg+DubPrt+InclSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+DubPrt+InclSubj+0SgObj']"
adaawesiiwegobanen,"['adaawen+VAIO+Cnj+Neg+DubPrt+2PlSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+DubPrt+2PlSubj+0SgObj']"
adaawesiigobanen,"['adaawe+VAI+Cnj+Neg+DubPrt+3SgProxSubj', 'adaawen+VAIO+Cnj+Neg+DubPrt+3SgProxSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+DubPrt+3SgProxSubj+0SgObj']"
adaawesiiwaagobanen,"['adaawe+VAI+Cnj+Neg+DubPrt+3PlProxSubj', 'adaawen+VAIO+Cnj+Neg+DubPrt+3PlProxSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+DubPrt+3PlProxSubj+0SgObj']"
adaawesiinigobanen,"['adaawe+VAI+Cnj+Neg+DubPrt+3PlObvSubj', 'adaawe+VAI+Cnj+Neg+DubPrt+3SgObvSubj', 'adaawen+VAIO+Cnj+Neg+DubPrt+3PlObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+DubPrt+3SgObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+DubPrt+3PlObvSubj+0SgObj', 'adaawen+VAIO+Cnj+Neg+DubPrt+3SgObvSubj+0SgObj']"
adaawesiiwiingibanen,"['adaawe+VAI+Cnj+Neg+DubPrt+XSubj', 'adaawen+VAIO+Cnj+Neg+DubPrt+XSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+DubPrt+XSubj+0SgObj']"
